sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm,gate_probability,soft_multiplier,residual_spread
A099766128UI0NCS98N1E:validation:B001YTD3G4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3681972920894623,1.0,0.31614193320274353
A10220YORA6MUU:validation:B006LRRQK8,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.566085696220398,1.0,0.31468135118484497
A103584DULBU65:validation:B00GXBEV0A,head,18,15,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.9488185048103333,1.0,0.3127062916755676
A103BJIOJSDJL1:validation:B004AIAVYS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9400972127914429,1.0,0.3642427921295166
A1047EDJ84IMAS:validation:B00188IFHS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7413098216056824,1.0,0.3158757984638214
A10WDRM4UQJ9EO:validation:B002QFGQAK,head,42,40,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.436540424823761,1.0,0.3158426582813263
A10X20OIBA96ND:validation:B003V265QW,head,41,40,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.7804161310195923,1.0,0.31697630882263184
A10Y5RD8QNMHEZ:validation:B002C7487U,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9649382829666138,1.0,0.32878363132476807
A110OOYMFXQPDA:validation:B002H937FW,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8368486762046814,1.0,0.3119116425514221
A110PQTEI6THU7:validation:B0033VVJSK,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5363251566886902,1.0,0.3106178641319275
A116ZS3G8HEKQN:validation:B002WTC37A,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3746184706687927,1.0,0.3128437399864197
A117Y5J7LC8SMP:validation:B000ITQ9WQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.12197389453649521,1.0,0.31525635719299316
A11HLJWFG5DO8K:validation:B006WVCF40,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.41256198287010193,1.0,0.3138054311275482
A11HXOFCYE85QE:validation:B0055HK65W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2699907720088959,1.0,0.36572176218032837
A11JWVCT7N93NH:validation:B0094GGRTY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7816535234451294,1.0,0.309977263212204
A11NYM9RGQ95JA:validation:B000CC08VC,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4923514425754547,1.0,0.31215304136276245
A11SPSEM08VIXX:validation:B003EH20ZO,head,17,45,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.17123445868492126,1.0,0.31550779938697815
A11X1K0H5TXY0V:validation:B000SSNSAS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4462151825428009,1.0,0.31702733039855957
A11XGZ5H4NOQTN:validation:B008KYKTFO,head,,75,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.16935130953788757,1.0,0.31249046325683594
A11Y1NMAMM89HA:validation:B009K2BC2Y,tail,,78,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.9228912591934204,1.0,0.340226411819458
A1235J5HSC60MW:validation:B0007V9API,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6160815358161926,1.0,0.31616175174713135
A124MQESI6PUUT:validation:B005R3IPJI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9574272632598877,1.0,0.3234093189239502
A125DHLL6C0V1I:validation:B000143AY8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.19939319789409637,1.0,0.31584692001342773
A12BJHX83NXLCS:validation:B005K85R5A,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.26954716444015503,1.0,0.3175269365310669
A12CKFYESWGOOJ:validation:B0030HTXTY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9908986687660217,1.0,0.3198142647743225
A12HACWR7QRA0Y:validation:B00EVM7OJS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3382205367088318,1.0,0.31603312492370605
A12IRGQLFE4EBA:validation:B0039UT9QE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9721909761428833,1.0,0.3212031126022339
A12RD9GYU6NYFC:validation:B006YQ40ZA,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.5585828423500061,1.0,0.3149760365486145
A12TCY12RMA0YE:validation:B003SRFD04,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.318496435880661,1.0,0.31164461374282837
A12TIX7LTFA6KA:validation:B000UGVVHK,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9233804941177368,1.0,0.31676384806632996
A12X9UY8B7SEQ6:validation:B0078PXU7U,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5563148856163025,1.0,0.36468514800071716
A13IEEF3PBMB0H:validation:B0036OJEFO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.33281293511390686,1.0,0.31111031770706177
A13K7DI5Q7UXSB:validation:B001J9LLX6,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.40022215247154236,1.0,0.3103504180908203
