sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm,gate_probability,soft_multiplier,residual_spread
A099766128UI0NCS98N1E:validation:B001YTD3G4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6174859404563904,1.0,0.28797876834869385
A10220YORA6MUU:validation:B006LRRQK8,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5701349973678589,1.0,0.28881675004959106
A103584DULBU65:validation:B00GXBEV0A,head,18,16,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.8817399144172668,1.0,0.28738468885421753
A103BJIOJSDJL1:validation:B004AIAVYS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.982262372970581,1.0,0.34802326560020447
A1047EDJ84IMAS:validation:B00188IFHS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7187983989715576,1.0,0.2809658646583557
A10WDRM4UQJ9EO:validation:B002QFGQAK,head,42,42,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.49042707681655884,1.0,0.2844063341617584
A10X20OIBA96ND:validation:B003V265QW,head,41,40,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.4122386574745178,1.0,0.2847985625267029
A10Y5RD8QNMHEZ:validation:B002C7487U,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6272491216659546,1.0,0.2885986566543579
A110OOYMFXQPDA:validation:B002H937FW,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8415220379829407,1.0,0.28840625286102295
A110PQTEI6THU7:validation:B0033VVJSK,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7420552372932434,1.0,0.2938545048236847
A116ZS3G8HEKQN:validation:B002WTC37A,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.43014901876449585,1.0,0.2881532311439514
A117Y5J7LC8SMP:validation:B000ITQ9WQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.04770758002996445,1.0,0.2874002754688263
A11HLJWFG5DO8K:validation:B006WVCF40,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5189605355262756,1.0,0.28708595037460327
A11HXOFCYE85QE:validation:B0055HK65W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.636836588382721,1.0,0.3504987955093384
A11JWVCT7N93NH:validation:B0094GGRTY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7675296664237976,1.0,0.2864437699317932
A11NYM9RGQ95JA:validation:B000CC08VC,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5571944117546082,1.0,0.29035240411758423
A11SPSEM08VIXX:validation:B003EH20ZO,head,17,31,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.1238696277141571,1.0,0.287015438079834
A11X1K0H5TXY0V:validation:B000SSNSAS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4568007290363312,1.0,0.28323689103126526
A11XGZ5H4NOQTN:validation:B008KYKTFO,head,,76,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.25071075558662415,1.0,0.2880971431732178
A11Y1NMAMM89HA:validation:B009K2BC2Y,tail,,78,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.550769567489624,1.0,0.3081684112548828
A1235J5HSC60MW:validation:B0007V9API,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.374717116355896,1.0,0.2861591577529907
A124MQESI6PUUT:validation:B005R3IPJI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6517706513404846,1.0,0.28834041953086853
A125DHLL6C0V1I:validation:B000143AY8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.15466053783893585,1.0,0.28842997550964355
A12BJHX83NXLCS:validation:B005K85R5A,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1998780369758606,1.0,0.28167474269866943
A12CKFYESWGOOJ:validation:B0030HTXTY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5852894186973572,1.0,0.2894156277179718
A12HACWR7QRA0Y:validation:B00EVM7OJS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.29169604182243347,1.0,0.28687557578086853
A12IRGQLFE4EBA:validation:B0039UT9QE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6881222724914551,1.0,0.29668334126472473
A12RD9GYU6NYFC:validation:B006YQ40ZA,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.8657340407371521,1.0,0.28768643736839294
A12TCY12RMA0YE:validation:B003SRFD04,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2445412129163742,1.0,0.2913821339607239
A12TIX7LTFA6KA:validation:B000UGVVHK,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6330824494361877,1.0,0.287876695394516
A12X9UY8B7SEQ6:validation:B0078PXU7U,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6915736794471741,1.0,0.3483457863330841
A13IEEF3PBMB0H:validation:B0036OJEFO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.25078028440475464,1.0,0.2928675413131714
A13K7DI5Q7UXSB:validation:B001J9LLX6,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.26110804080963135,1.0,0.294882208108902
A13LQFHBEWQBE6:validation:B008YRZA24,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7485206723213196,1.0,0.28862929344177246
A140H49J7J4GPA:validation:B00KHH2VOY,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.5212805271148682,1.0,0.3027505874633789
A14CJRV4WFT278:validation:B00920E03M,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.85335773229599,1.0,0.3491080403327942
A14ENWEKTHCBXR:validation:B008FZ562E,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.18457871675491333,1.0,0.29019272327423096
A14GS4919RSRTU:validation:B00469CIMO,tail,,48,1,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.15983019769191742,1.0,0.2848837673664093
A14HCVAESP0PPF:validation:B004TI3BKK,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9617576599121094,1.0,0.3464934825897217
A14MULWQB7ZMLK:validation:B00AFCP9FO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3566132187843323,1.0,0.2856445014476776
A14N9YGGSY9MWQ:validation:B0014G59F0,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6801996231079102,1.0,0.295028954744339
A14NHXPYTSZ2HT:validation:B00K861Z4G,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9971617460250854,1.0,0.28014788031578064
A14SMPKVVKL7OC:validation:B000WM2V9O,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4666115343570709,1.0,0.28917741775512695
A14VLF7TJF5LHD:validation:B001G52ZHO,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6886135935783386,1.0,0.28908997774124146
A14ZQ6SY0IX99F:validation:B00027DMSI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.30522334575653076,1.0,0.28671178221702576
A158XRI6AASL6:validation:B004NG0QJ2,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8928777575492859,1.0,0.34959352016448975
A15BI2LVYM2GIW:validation:B00HNKRWX8,head,37,31,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.8478792905807495,1.0,0.2825743854045868
A15DMAQKO3I0PX:validation:B000EBZ7XK,head,4,4,1,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,1.0,0,0,0.675067663192749,1.0,0.2851385176181793
A15FS5MQ5C1OVU:validation:B005C1FNL8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2881816327571869,1.0,0.2866382896900177
