user_id	width	target_in_candidates	baseline_rank	pcrf_rank
ASZ8W38C6GQPK	50	False	51	51
A369R4MUZCUI3D	50	False	51	51
A27AEZG2GO6OK2	50	False	51	51
A3N61N91YEIZ47	50	False	51	51
A3N5NRW1GQ8RXL	50	False	51	51
A3CQ5980OVK9GQ	50	False	51	51
A24F60FH23CSWL	50	False	51	51
A339D0QQYH0ZRG	50	True	3	2
A2G9P49SWMNJ5V	50	False	51	51
AW0IOR4AEEK46	50	True	5	8
A2Y71CUI7ILZSH	50	False	51	51
ANPTHLKNDONR5	50	False	51	51
A1954JA0H5WBJQ	50	False	51	51
A3UTB0QKXNY8CB	50	False	51	51
A2ZX3CGI6PM4X1	50	False	51	51
A35PNMSE7JVPK7	50	False	51	51
AOPWIKGDPRMX8	50	True	1	1
A3OOS2B1ZZBCHI	50	False	51	51
A9SUD7U1I40PB	50	False	51	51
A2R4NM7XJDHX13	50	False	51	51
A9TCBI8KIFJ0M	50	False	51	51
A24YTF4DFAMFXP	50	False	51	51
A2Q9B9WLL51Z70	50	False	51	51
A27144YLL9MNQS	50	False	51	51
A1RDIBJ0EPOIXF	50	False	51	51
A2MX85R9XJXO9I	50	False	51	51
A36LQ698RFJRYP	50	False	51	51
A1VH028NKF3A8	50	False	51	51
A29FYU0NWVEMMQ	50	False	51	51
A24N79JNVNFSBV	50	False	51	51
A3GTI284ZE3B6W	50	True	11	12
A1D1TYFB50XPJ2	50	False	51	51
A28JZ1ZMM80FXP	50	True	2	2
A2Y96MUF4VWAOW	50	True	16	14
A3W3ZIJ1XSW8SW	50	False	51	51
A2DRO0SFQ5C0UU	50	False	51	51
A3F1UYG3P3DGJS	50	False	51	51
A1EUT9DYQVQJ48	50	False	51	51
A2VG3TH6IMOVKM	50	False	51	51
ACPSENP0EQE49	50	False	51	51
A3VPZFFS8IO08A	50	False	51	51
A301SYVALW58GF	50	False	51	51
A1N7HHTP02O4VU	50	False	51	51
A3MPWZNB1K8J1G	50	False	51	51
ACPYT9KCCKX6X	50	False	51	51
A1MXJVANURX26J	50	False	51	51
AZQOGNBVDKWR0	50	False	51	51
A21R8JYHVCJOV5	50	False	51	51
A1BMET3MONQ1WE	50	False	51	51
A2UAQ83AY3C3CY	50	False	51	51
AEMV9IMH665B9	50	True	38	32
A24HD3TRDRTNM9	50	True	1	1
A3AZIU63WQK6R	50	False	51	51
A3P2D0B50DXXDS	50	False	51	51
A1JU5OELW8PPWF	50	True	24	24
A15R8O74AEX1R5	50	False	51	51
AB38XEH4DLN66	50	False	51	51
A1IAEIOZQ2M03F	50	False	51	51
A13X4VIMZPP4OP	50	False	51	51
A17ZPLHRUPPEG5	50	False	51	51
A1I5JB80670KFG	50	False	51	51
A2Y87U9VKGRAAW	50	True	1	1
A3GVW21TD5PQAA	50	False	51	51
A39MKEAYS0XQA5	50	True	11	11
A23UF0YQDHL2LG	50	False	51	51
A1F1HEIAW7X3H	50	False	51	51
A2KQT4D0OZR569	50	False	51	51
APWXTMMNYNX4F	50	False	51	51
AF0EGN9J6610M	50	False	51	51
A25XU1RT0DJI3	50	False	51	51
A35I95L7BG74AN	50	False	51	51
A2D6LG91QQC29B	50	False	51	51
A379O5JZOPENK2	50	False	51	51
AIOB3K2PE2E3R	50	False	51	51
A153JKH35P5N2I	50	False	51	51
A13TUDSG4QK0P0	50	False	51	51
A33PBU9EHZ28PC	50	False	51	51
A3S801EXW1YK1	50	False	51	51
AG1JZXJ1VZ1HW	50	False	51	51
A3CW94YYFXEBSI	50	False	51	51
A2XX2A4OJCDNLZ	50	True	49	41
A3AE2LAXSIML73	50	False	51	51
A2RJ4DUC9IUDY0	50	False	51	51
A3GSGBKCIXB45A	50	False	51	51
A3DVO4RN4WA7A5	50	True	9	10
A2YGB747HQLREO	50	False	51	51
A3VISL7I6DN4K9	50	False	51	51
A1GQ1JGK9YM6BU	50	False	51	51
A2A4HGFGKO6BKP	50	False	51	51
A3AA5MUGG09CDS	50	False	51	51
A1E38ETRELK0OU	50	False	51	51
A2YHBS040TSI3B	50	False	51	51
A3DML7MESO9P8J	50	True	2	2
A3PVM083UFTZQJ	50	False	51	51
A3MFCKCUSW5OGE	50	False	51	51
A2BYTAC87S23BA	50	False	51	51
A3KC0CRGLO5LXJ	50	False	51	51
A3FG51WL7BP7LN	50	False	51	51
A7HUMX97N6J2R	50	False	51	51
A1OAQLHCVKKNC5	50	False	51	51
A3R5GTYQ50QVMD	50	False	51	51
A21S0K5PU4YO9L	50	False	51	51
A187FKQNMXSS8L	50	False	51	51
A2E3XN7ZGK8G6S	50	True	1	1
A1N5Z9WQ7G6B45	50	True	38	47
A309CYRJJNFMDG	50	False	51	51
ACH40GDEWZRJS	50	False	51	51
A26I6E533K6XZ8	50	False	51	51
A3OFAMMKK080ES	50	False	51	51
A2G7932FZ1GIXH	50	True	1	1
A1R27Q9GNRUGQQ	50	False	51	51
A3GU48VNT4BCFR	50	False	51	51
ANCQKZHPGDKS2	50	False	51	51
A22OVVLMT0025M	50	True	1	1
