user,candidate,sasrec_rank,exact_score,is_gold
A2YO7Q1ABS2533,B004Z40048,1,-0.886205758367266,0
A2YO7Q1ABS2533,B0068Y6CA4,2,-1.0882041156291962,0
A2YO7Q1ABS2533,B001V3TVEQ,3,-1.6948151588439941,0
A2YO7Q1ABS2533,B001JKTTVQ,4,-0.8003336787223816,0
A2YO7Q1ABS2533,B000142FVW,5,-0.88467047895704,0
A2YO7Q1ABS2533,B001MA0QY2,6,-0.9607929140329361,0
A2YO7Q1ABS2533,B001OMI93S,7,-0.8934442625946498,0
A2YO7Q1ABS2533,B00538TSMU,8,-1.0076695425169808,0
A2YO7Q1ABS2533,B00150LT40,9,-0.5540701425634325,0
A2YO7Q1ABS2533,B006WVCF18,10,-0.734721594623157,0
A2YO7Q1ABS2533,B000PHRIQM,11,-0.8151224361998695,0
A2YO7Q1ABS2533,B000WYZ9Q4,12,-0.9573554992675781,1
A2YO7Q1ABS2533,B000ZMBSPE,13,-0.6788966347729521,0
A2YO7Q1ABS2533,B0030O3VRW,14,-1.740292685372489,0
A2YO7Q1ABS2533,B0039UTO3M,15,-1.0299094766378403,0
A2YO7Q1ABS2533,B002OVV7F0,16,-1.0988795416695731,0
A2YO7Q1ABS2533,B004INUWX0,17,-1.1759358631180865,0
A2YO7Q1ABS2533,B000VDUOFM,18,-1.2534118379865373,0
A2YO7Q1ABS2533,B005BF1M10,19,-1.0482248162318553,0
A2YO7Q1ABS2533,B006K9OQSC,20,-1.2098567666627267,0
A2YO7Q1ABS2533,B004DIXYWG,21,-1.5538912500653947,0
A2YO7Q1ABS2533,B0002Z8HAI,22,-1.0908769369125366,0
A2YO7Q1ABS2533,B00373FE76,23,-1.0694897856031145,0
A2YO7Q1ABS2533,B004D24818,24,-1.0796803406306676,0
A2YO7Q1ABS2533,B003UH0528,25,-1.049551750932421,0
A2YO7Q1ABS2533,B000RGZK02,26,-1.054052707972005,0
A2YO7Q1ABS2533,B001TJXI5U,27,-0.8917152839047569,0
A2YO7Q1ABS2533,B004TSFE6Y,28,-1.0232200963156564,0
A2YO7Q1ABS2533,B000142C1A,29,-1.1363434961863927,0
A2YO7Q1ABS2533,B0000536P4,30,-1.3452886271157436,0
A2YO7Q1ABS2533,B000H88QOM,31,-0.9357370989663261,0
A2YO7Q1ABS2533,B001HKR6WM,32,-0.7852583612714495,0
A2YO7Q1ABS2533,B004OHQR1Q,33,-0.9169762688021917,0
A2YO7Q1ABS2533,B0058L24O6,34,-1.0200094069753374,0
A2YO7Q1ABS2533,B008FX7B9M,35,-1.3347711563110352,0
A2YO7Q1ABS2533,B002TPQPEE,36,-1.1138591596058436,0
