sample_key,user_id,target_item,target_group,depth,gold_token,is_eos,competitive,legal_child_count,legal_mass,illegal_mass,loss_gap,full_rank,legal_rank,formula_error
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,B002MO780W,head,0,18311,0,1,108,0.9889832735061646,0.01101672649383545,0.011077880859375,3,3,2.0825247613182052e-08
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,B002MO780W,head,1,10848,0,1,118,0.9858644008636475,0.014135599136352539,0.0142364501953125,3,3,8.12060676515236e-09
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,B002MO780W,head,2,140,0,1,5,0.9999943375587463,5.662441253662109e-06,5.7220458984375e-06,1,1,5.958861309439623e-08
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,B002MO780W,head,3,27730,0,0,1,1.0,0.0,-0.0,1,1,0.0
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,B002MO780W,head,4,3702,0,0,1,1.0,0.0,-0.0,1,1,0.0
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,B002MO780W,head,5,131,0,0,1,0.9999990463256836,9.5367431640625e-07,9.5367431640625e-07,1,1,4.547476399364574e-13
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,B002MO780W,head,6,9285,0,0,1,0.9999990463256836,9.5367431640625e-07,9.5367431640625e-07,1,1,4.547476399364574e-13
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,B002MO780W,head,7,1,1,0,1,1.0,0.0,-0.0,1,1,0.0
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,B0058P6S2Q,head,0,5432,0,1,108,0.9957442879676819,0.004255712032318115,0.00426483154296875,24,24,3.819406262008801e-08
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,B0058P6S2Q,head,1,2412,0,1,93,0.7557637691497803,0.24423623085021973,0.2800264358520508,6,6,9.54946188791439e-09
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,B0058P6S2Q,head,2,3270,0,1,5,0.9732913970947266,0.026708602905273438,0.027071714401245117,1,1,4.40915178707979e-08
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,B0058P6S2Q,head,3,6820,0,0,1,1.0,0.0,-0.0,1,1,0.0
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,B0058P6S2Q,head,4,1488,0,0,1,0.9999980330467224,1.9669532775878906e-06,1.9073486328125e-06,1,1,5.96065792305256e-08
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,B0058P6S2Q,head,5,6660,0,0,1,1.0,0.0,-0.0,1,1,0.0
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,B0058P6S2Q,head,6,25356,0,0,1,0.9999943375587463,5.662441253662109e-06,5.7220458984375e-06,1,1,5.958861309439623e-08
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,B0058P6S2Q,head,7,1,1,0,1,1.0,0.0,-0.0,1,1,0.0
A10BK26EN1YSZT:1:B000SSG0EE,A10BK26EN1YSZT,B000SSG0EE,head,0,21935,0,1,108,0.9852854609489441,0.014714539051055908,0.01482391357421875,1,1,4.184791763638118e-08
A10BK26EN1YSZT:1:B000SSG0EE,A10BK26EN1YSZT,B000SSG0EE,head,1,21557,0,1,94,0.7756654024124146,0.22433459758758545,0.25403404235839844,10,10,8.115365102145944e-09
A10BK26EN1YSZT:1:B000SSG0EE,A10BK26EN1YSZT,B000SSG0EE,head,2,6281,0,0,1,1.0,0.0,-0.0,1,1,0.0
A10BK26EN1YSZT:1:B000SSG0EE,A10BK26EN1YSZT,B000SSG0EE,head,3,16967,0,0,1,1.0,0.0,-0.0,1,1,0.0
A10BK26EN1YSZT:1:B000SSG0EE,A10BK26EN1YSZT,B000SSG0EE,head,4,2168,0,0,1,1.0,0.0,-0.0,1,1,0.0
A10BK26EN1YSZT:1:B000SSG0EE,A10BK26EN1YSZT,B000SSG0EE,head,5,3023,0,0,1,0.9999990463256836,9.5367431640625e-07,9.5367431640625e-07,1,1,4.547476399364574e-13
A10BK26EN1YSZT:1:B000SSG0EE,A10BK26EN1YSZT,B000SSG0EE,head,6,142,0,0,1,1.0,0.0,-0.0,1,1,0.0
A10BK26EN1YSZT:1:B000SSG0EE,A10BK26EN1YSZT,B000SSG0EE,head,7,1,1,0,1,1.0,0.0,-0.0,1,1,0.0
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,B0038TYTI4,head,0,16087,0,1,108,0.9932858347892761,0.006714165210723877,0.00673675537109375,1,1,5.124921973950758e-08
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,B0038TYTI4,head,1,255,0,1,110,0.9776104092597961,0.022389590740203857,0.02264404296875,1,1,1.1709729713649253e-10
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,B0038TYTI4,head,2,7384,0,1,3,0.9998717308044434,0.00012826919555664062,0.00012826919555664062,1,1,8.227196802513062e-09
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,B0038TYTI4,head,3,8320,0,0,1,1.0,0.0,-0.0,1,1,0.0
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,B0038TYTI4,head,4,5768,0,0,1,1.0,0.0,-0.0,1,1,0.0
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,B0038TYTI4,head,5,15526,0,0,1,1.0,0.0,-0.0,1,1,0.0
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,B0038TYTI4,head,6,7882,0,0,1,1.0,0.0,-0.0,1,1,0.0
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,B0038TYTI4,head,7,1,1,0,1,1.0,0.0,-0.0,1,1,0.0
A112TFLXGBF6NI:8:B002L6NZHG,A112TFLXGBF6NI,B002L6NZHG,head,0,7524,0,1,108,0.98727947473526,0.01272052526473999,0.0128021240234375,4,4,1.5389757176964558e-10
