idx	offset	gold	pred	scores
ASXG2R5LLYI6L	4	nail 500 09 false760glass fibre	artmarket invitation specialist etc decorate learn||nail 500 09 false760glass fibre||nail 500dial false877glass fibre||nail loading tasks pen mounted detailing petals||nail false gag decoration french glue acrylic||nail 350 elegance gagbuy 2.5 acrylic||nailsoaking removaltoneace soakfor||nail falsebotstone french gluehin||geltale fairy upon dream romantic fascinated||nailtting marble pendicure2.1||nail drill entry speed bother pedal receiving||naildial header pen correct186 contents||polishklelasted couldnetic mad lac||nail fu oval 130 holders round total||cupper pride trim26 pocket world||nail550 thru10. attached tips540||nail 350buyappro acrylic build manicure||nail traysoaking proof beau holetone||nail painting arrive business art tool drawing||polish set slots tray organized customizedranging||coat proteintiquesche varnishcul vite1||naildial training clothes contents hook practice||nail fake weddingils 500 false party||nail detail artpens pride brushes 65||nail detaildial art pen brushes line||nailtting pride pen marble worlddic||nail painting crazy art drawingtting kitchen||nail dispenserpoured pad mall manner pump||pony braid hook twiststep roll graceful||nail french 500 false artificial acrylic208||nail cutterdial false clip acrylicper||nail practiceash fingers blank skills art||stamp kon feedback ended colours art images||ponyignon bunholder twistch facing||nail blocks filing files piecesand buffer||iron flationalffe aside straighttransforming||stamp kon art13 nail polish89||nail 400 wipe mall400power sheet||nail various monster paintingtting designing dots||opibor boring traffic pink stuck trip||nail extension guide 500 form marked numbers||cleansingtraspeed nulux dealer charger||nail ended marble painting painttting pen||nailbra sticks144 files buffer wood||nail halfgamemarketed false365 500||nail french decorations false 06 acrylic white||nail supertoneace7.2 compoundspurpose||oiltikbur da va 150 coconut||oiltikbur va da5.6 coconut||hair daughterrol monorepairing ca ma	-0.1198098361492157||-0.40312886238098145||-0.44048577547073364||-0.4540025293827057||-0.4835754930973053||-0.4973043203353882||-0.4980434775352478||-0.5314342379570007||-0.5330306887626648||-0.553447961807251||-0.5619454383850098||-0.5758010149002075||-0.5867680907249451||-0.5896930694580078||-0.6153601408004761||-0.6320937871932983||-0.6481451392173767||-0.6607131361961365||-0.6609960794448853||-0.667645275592804||-0.6705203056335449||-0.6775196194648743||-0.6842172145843506||-0.6995121836662292||-0.7045658826828003||-0.7134532332420349||-0.7141259908676147||-0.7327016592025757||-0.7448042035102844||-0.7515993714332581||-0.7704761028289795||-0.7751395106315613||-0.782454252243042||-0.785811722278595||-0.7864676117897034||-0.7903221249580383||-0.793676495552063||-0.7969908118247986||-0.8032079339027405||-0.8046965599060059||-0.8121732473373413||-0.8137941360473633||-0.8146630525588989||-0.823009729385376||-0.826369047164917||-0.8319524526596069||-0.8347769379615784||-0.8701130747795105||-0.8824499845504761||-0.8984788060188293
A1A55SSNA195JG	4	igmauffed flatsigmax forehead dense	primer baked sheer shimmer moon370lumina||brushes techniquesak realpixelmantech4||brushes techniquesak realpixelmantech5||brushestool eco motion buff cruelty apples||brushes techniquestipp realling849.99||blush mama poidsbal puts sunny magnetic||brushes techniquesak realpixelmantech0||igmauffed flatsigmax forehead dense||brushes techniquesak realpixelmantech3||ironington pearl ceramic studioandcreate||brushestool heads ecokibuka||igma precise tapecreasered picking pointed1||brushes techniques real core 52ators collection||igma precise tapecreasered picking pointed0||brushes techniques real blush 50ators98||brushes techniques real71 travel 14.ators||igma pencil corner smoke enterprises innerliners||blush mama ba bronzeham kiss beach||blush quilt featured ma signaturetextured4.0||shadow tattoo darcityked longest maybe||lashes pairspit faketrimmed falselash||layproxcount 2668 advanced system||line pencil beanmbo 1989juliners||coat proteintiquesche varnishcul vite1||brushes techniquesak realpixelman shading||shadow palette portion comparison window magnetic fold1||brushes techniquesak realpixelmantech2||lashes pairs femininelash2.6 eyeenhancing||brushes techniquesak realpixelmantech1||lineowedapplication creablack eye elbow||lipstick mattefashion nunvelopglode||brush guard960 vulnerable hygiene visit entirely||brushescraftedelli finishing studio yellow due||brushes sponge regrethey picking puff comes||shadow naked dozen sequel anticipated stunninghowcasing||brushes cleaner leak extended 2.0goproof||igmauffedsigroundedmax113 dense||brushestoolcrease eco bone petite corners||powdergirl cover ivory foundation fabulouslast||lipsbitten bal sta revubb crush||acne stripsporehead nose tackle tag||brushestool groomangled eco brushbrow||brow eyebrow cake cooking complementary recipegra||igma contour cheekele jawrounded410||powderstay revily combinationcino coverage||mirror daylight flo bulb lighting distortion lenses||shadowoulage introduction colour cam conceal||shadowshadowselling pris single151133||brow wax impeccable eyebrow shaperulches||acne strips noseporepul178 cleansing	-0.2973552644252777||-0.3239692151546478||-0.34524282813072205||-0.35713934898376465||-0.4306880831718445||-0.4370107650756836||-0.4646829068660736||-0.49034518003463745||-0.4918581545352936||-0.5012581944465637||-0.5053691864013672||-0.513721227645874||-0.5479991436004639||-0.5627729892730713||-0.5652859210968018||-0.5704891681671143||-0.5786707997322083||-0.6164898872375488||-0.6372871398925781||-0.6486098766326904||-0.6502806544303894||-0.6565734148025513||-0.662298858165741||-0.6644603610038757||-0.6717485785484314||-0.678091824054718||-0.6872745156288147||-0.6977812647819519||-0.702605664730072||-0.7060276865959167||-0.7065293788909912||-0.7169025540351868||-0.7171885371208191||-0.7221333384513855||-0.7240098118782043||-0.7242443561553955||-0.731738805770874||-0.7400646209716797||-0.744257390499115||-0.7520668506622314||-0.7531649470329285||-0.7649316191673279||-0.7653152346611023||-0.7764837145805359||-0.7769688367843628||-0.7788352966308594||-0.7789306640625||-0.7800053954124451||-0.7811391353607178||-0.7842481136322021
A1HVQFWB7GG15G	4	color111 garnier chocolatenutri permanent	color111 garnier chocolatenutri permanent||fried blondejohn optical renew brass243||colorclair513148 dye volume||powderwhipped rev feelsme0.8 stay1||colorellard hi unwanted114 decrease||color charm blondener remaining brass well||color charm blondener lady welllight||brown rescue root matches seamlesslyhome covers||brow master shape pencil maybe groom safe0||color panic bleach lightning frosting dye brown||color brass banihernes secrets ban||styling bigex tea what envy ahead||mascaracolo cat express fel spike claw||color excellence highlights sightrip lights500||color preference les superiorime blondeextending||line pencil beanmbo 1989juliners||coloroli propel garnier powered vivid||lineproofudge sweatresistant combat tears1||tint gar miraclenier renewcombiningbene||su 300 professionalsvefusion shampooker||hair miracle stops protector 10 things controls||color colour cherryfaceted prisburgcolour||coloroop3.1 remove coloringtralus||color bat blonde bani skipping worry||color russerome pun je colour outrageous||coat proteintiquesche varnishcul vite1||remove towel neutrogenetteettes competitive||brow eyebrow cake cooking complementary recipegra||color lightsclair shimmer shampoo1.5 highlights||color highlightsost frlow revzon||lashes pairspit faketrimmed falselash||self bake fake whil flawless assistsan||color 08370 grey118 permanentcolor||lipscolour desperately serumagingprox goodbye||colorpla rebellustious lavender147||color instinctclairweed 14ash60||colorvid crave expertise experts1.5 series||layproxcount 2668 advanced system||colorclair53 40 dye volume59||blush quilt featured ma signaturetextured4.0||acne neutr micro scrubclesolvogen||line drama eggplant studio6, lasting maybe||lineproofudge sweatresistant combat tears0||par match true coordinate matches158 precisely||cleanse 360 calibr scrub perfectly exfoli||brow eyebrow pencil guarantees beanches auto||line marker carbon fat01 eye super||brow eyebrow maybe define pencilbull seamlessly||color brass instinctsee dyeclair month||color lightsclair highlightedimmer1.5 shimmer	-0.25509265065193176||-0.367909699678421||-0.4559246599674225||-0.4583362936973572||-0.4747351109981537||-0.48924195766448975||-0.504412055015564||-0.5134842991828918||-0.5238816142082214||-0.5436127185821533||-0.586863100528717||-0.5987236499786377||-0.5990720391273499||-0.5996056199073792||-0.6179267764091492||-0.6198107600212097||-0.6371420621871948||-0.6445826888084412||-0.6585625410079956||-0.6741204857826233||-0.6795123815536499||-0.688953161239624||-0.6945106983184814||-0.6994603872299194||-0.7096050381660461||-0.7105861902236938||-0.731438398361206||-0.7329251170158386||-0.7422823309898376||-0.7503005266189575||-0.7553811073303223||-0.7569135427474976||-0.7588617205619812||-0.7605012059211731||-0.7644854784011841||-0.7699105143547058||-0.7748783826828003||-0.776143491268158||-0.7782300710678101||-0.7807025909423828||-0.7882091999053955||-0.7931951880455017||-0.7981948256492615||-0.8013184070587158||-0.8016008734703064||-0.8039607405662537||-0.807785153388977||-0.8095952272415161||-0.8108891248703003||-0.8358202576637268
A3HUGTW279WPC6	4	loss laboratories dysfunctionvita stimulating periods sodium	emmechi possibilities memory outstanding compoundgenerating||layproxcount 2668 advanced system||color instinct lovingcontent2000 07 border||mascara max3.1 false factor effectlash||cream reliefven intermittent red persistentness||sunscreentouchblockheliplex 70 neutr||sunscreentouch neutrogenheli twin cancer||womenkim goddess le simmhat||sunscreenscreenblock 45 neutr babyogen||shampoo neutrogendu2785 7.||sunscreen shieldburn neutrogen primaryray||sunscreen shield 46amgram contributeaged||sunscreentouchheli 85plex neutrogen||coat proteintiquesche varnishcul vite1||hair miracle stops protector 10 things controls||iron flationalffe aside straighttransforming||ironingtonstudio inch digital curl pearl||hair miracle280ancy vibrriz impart||neutr alternative future everything tintretirich||acne neutr micro scrubclesolvogen||cleanse neutraccoogen foamstingtate||ganocc moril proceduresprocessan0||eye rapid neutrogen glucosereti stabilize||layating searching renewal exfoli conjunction||gandiraga5.6 140 treatmentenriched||heat frictionemme guard reform ruletre||remove towel neutrogenetteettes competitive||wrinkleroc correti diminished clinical night||ve positively scrub clarity radiant bright reveal||ve oatmealoidalreveals coll active daily||layprox oversee establish alliance partnershippartnered||dryer2000binmix narrow babynozzle||bodyhutku sugar scrubawa tree||cleanse neutrogen gentlesili extrastop||conditioner neutrogen captured tripleminuteprocess||mascaracolo232 maybe volume megagla||ironington digital500 negatively static thirty||sunscreen neutrogen visiblyheli daily||wrinkleroc cor multi diminish signs night||ironington380 plates pearl wide inch||brushes pouchanypiece sh set animal||cleanse neutrogenratates harnessifying||lotionphil cet chronicbindngolin||dryerair confini 431376||dryer tourmalski rev bumper speed||cleanse neutrogensolv thorough deeplogging||pan5.4ten123 packaging vary shampoo||sunscreentouch neutrogen280helispect||wrinkleroc corretion eyerow||layization minim therapiesrancefrag concerned	-0.4132724702358246||-0.42423170804977417||-0.4382442235946655||-0.4577620327472687||-0.46271586418151855||-0.4889325201511383||-0.4974568486213684||-0.5524177551269531||-0.5916305184364319||-0.5949823260307312||-0.6044930815696716||-0.611897349357605||-0.6387568712234497||-0.640735924243927||-0.6410179734230042||-0.6446509957313538||-0.6499448418617249||-0.6570265293121338||-0.6584445834159851||-0.6624882221221924||-0.6779400110244751||-0.6827092170715332||-0.688353955745697||-0.6898967623710632||-0.6979877948760986||-0.7118096351623535||-0.7127621173858643||-0.7139702439308167||-0.7153373956680298||-0.7159302830696106||-0.7165341377258301||-0.7312237024307251||-0.7464367151260376||-0.7518787980079651||-0.7589424252510071||-0.7624778151512146||-0.7643898725509644||-0.7694093585014343||-0.7726654410362244||-0.7789835333824158||-0.7817569971084595||-0.7858939170837402||-0.7901666760444641||-0.7920867204666138||-0.792215883731842||-0.8060015439987183||-0.8092735409736633||-0.8145602941513062||-0.8239902257919312||-0.8271781206130981
A1XW7WZQOT6FK3	4	dryer compact rev releases folding shot104	clips jolithank question vintage jewelrypin1||ironington flat96 inch 34 ceramic||pony spongetail bon bunart quarter||hair motion marcare scalp 80 therapy||dryer motorfiniairombre conpro||conditioner motion pennetjar deep 10||bandsport pics headallurban scratches||clipscock vintage jewelry lovely crystal clip||cream simple2404.271hydrat lotion||pony caps processingdian coloringlarge foil||clips lovelycock clip vintageang jewelry||styling motion radiat9953 gloss naturally||soapsol orchid foamcounter pump vanilla||nail painting arrive business art tool drawing||ironington155 wide41 29 ceramic||emme motion 12 bottles8694 home||su professionalsvefusionocc mor57||pony braid hook twiststep roll graceful||nail painting crazy art drawingtting kitchen||seruminho pleasur hotels spawinning||nailtting marble pendicure2.1||nail detail artpens pride brushes 65||acne stripsporehead nose tackle tag||ironington pearl flat inch ceramicdegree||nail marble dots pill decreasing end doing||bandshopemia nice knit strawhat||artstone400hinash chose beat||lips autumnhaz bur gloss lip smile||ponyignon bunholder twistch facing||mirrorjerdon eurofold133 table||curl motion184grav cre defineme||partion bal goldennutrisili targeting||iron flationalffe aside straighttransforming||linegirl0.00 charcoal cover point 2.0||eye hydrotone 47 net intensive21||lash pana heatedonic curl 12060||pony stripesbett caps stylish mold da||soap babygan 2,ic handflu||su blast oceanve kids9193||emmeschick256 disposable razor hydro||emmetreusing 65 shampooker38||emmetre platinum71 strength58 conditioning||su professionalsvefusionocc mor shampoo||acne stripspore crave978 cleansing bio||cleanse simple says goodnesstrust upset refreshing||wrinkle hydrotonepm 70rink 33||curl motion pudding990 my 14hydrate||soap salt tubsom warming soak lavender||ironington flat inch7230ten||lashes pairspit faketrimmed falselash	-0.27755191922187805||-0.48814404010772705||-0.48960933089256287||-0.5404835343360901||-0.5586782097816467||-0.5670202374458313||-0.5700032114982605||-0.575247049331665||-0.581566572189331||-0.585461437702179||-0.5914750099182129||-0.5987839698791504||-0.6177812814712524||-0.6191009283065796||-0.6279674172401428||-0.6298348903656006||-0.6348339319229126||-0.6371592879295349||-0.6476233005523682||-0.6495804190635681||-0.6516859531402588||-0.6584304571151733||-0.6636041402816772||-0.6646699905395508||-0.6724121570587158||-0.6752563714981079||-0.6774711608886719||-0.6823611855506897||-0.6824154257774353||-0.6836644411087036||-0.6858194470405579||-0.6877554655075073||-0.6925254464149475||-0.6930707693099976||-0.7044840455055237||-0.7049217224121094||-0.7103449106216431||-0.7116888165473938||-0.7167210578918457||-0.7182435393333435||-0.7194141745567322||-0.7221335768699646||-0.7228075265884399||-0.7241758108139038||-0.7248541116714478||-0.7318682670593262||-0.738959014415741||-0.7447341680526733||-0.7464277148246765||-0.7548583149909973
A18X9ZWXOEAEFY	4	sunscreenrochheliposlox cel outdoors	nailche 1928 se evaporate vite consistency||nail envy wouldn followedopi originalcoat||coat proteintiquesche varnishcul vite1||nailche se evaporate vite consistency thinner||opibor boring traffic pink stuck trip||stamp kon feedback ended colours art images||sie matte capitalize about limitcreate trend||nailtting marble pendicure2.1||mask claytecdianlbs secret river||artstone400hinash chose beat||sie voteristi opr marshmallowvislope||nail bond0.6 adh146coat rubber||opi sta baseflu 35 manicure nail||nail painting crazy art drawingtting kitchen||iron flationalffe aside straighttransforming||nerhay witchzel hatal ver||glaze chinaqu recycle optimized phenomenal440||nail marble dots pill decreasing end doing||hair miracle stops protector 10 things controls||cream collagenives timelesslast4677||art stickerogram tape strip bon pride||glaze concrete slate chinackenwalk cat||art stones mostonehin shapesyou||coat proteintiquesche varnishcul vite0||primerrid intens maximize vivid shadow helps||brushestool mineral buff eco shading containers||sie matte6.1 coat top about turn||polishkle neonfulness petite creativitycolor||stamp kon art13 nail polish89||sie metallic jazzody blue 2012hap||nail envyopi calcium wheat strengthening 38||layproxcount 2668 advanced system||opi6.1 coat0.5 top42 nail||polishkle prettycolor850 neonan||lashes pairspit faketrimmed falselash||brushes pouchanypiece sh set animal||coat vite abuzche se championwing||cleansing clar delicateletcolonic replacement||glaze china adhsion 2004 coat strong||polish club attraction 2008. magic glitter chunk||stamp plates imageany sh 25 measure||brushestoolcrease eco bone petite corners||coat viteche acknowledged solid se exciting||nailtic cuopi 2008lipidplex||brushestool eco cruelty retract br touch||dryer tourmalski rev bumper speed||brushes techniquesak realpixelmantech4||coat viteche se acknowledged topmatched||cleansephil cet42 bottles 26 23||brushes techniquesak realpixelmantech3	-0.31972643733024597||-0.39537882804870605||-0.4417715072631836||-0.4526529312133789||-0.5652046799659729||-0.5953072309494019||-0.6016432046890259||-0.6070209741592407||-0.6132881045341492||-0.6148821115493774||-0.6345862150192261||-0.636553943157196||-0.6493192315101624||-0.6571614146232605||-0.6699970364570618||-0.7051329612731934||-0.7102384567260742||-0.7127971649169922||-0.7151474952697754||-0.7157478332519531||-0.7216556668281555||-0.7235643863677979||-0.7238311171531677||-0.7326738834381104||-0.7356796264648438||-0.7397335767745972||-0.744442343711853||-0.7461286187171936||-0.7469115853309631||-0.7538082003593445||-0.7549723386764526||-0.7564298510551453||-0.7572376728057861||-0.7715010643005371||-0.7727847099304199||-0.775496780872345||-0.7765278220176697||-0.7917715907096863||-0.7953540086746216||-0.7957056760787964||-0.804073691368103||-0.8053194880485535||-0.8083258271217346||-0.8086439371109009||-0.8105887174606323||-0.8153384923934937||-0.8179258704185486||-0.827738881111145||-0.8294030427932739||-0.8331038951873779
AS6H78AHJTF38	4	mascara crusher 1966girl 800blast cover	scalp2.7 clear08 amp20nourishing||cleansepond176 scrub exfoli64||sunscreentropicawa2.9 sportsan44||scalp6.7 clear bal therapy78 intense||scalp 1402.9 clear shampoo strong37||removepond 2020ettes towelcount cloth||scalp clear therapy 2693 ampnourishing||scalp2222.7 conditioner amp4829||scalp2.7 64 clear5.0 conditioner strong||panten aged4.2 expert0663||cleanse neutrrippingogen440 irritatingfriendly||shampoo motion lavish02 bottles 22 conditioning||scalp2.7 clear total conditioner9629||ve1861.5 do79nourishing sensitive||scalp2.9 clear06 shampoo23nourishing||styling motion radiat9953 gloss naturally||cleansingction coupled aestheticvarying suinvasive||2.9 37 clear refresh shampoo amp18||cleanse simple says goodnesstrust upset refreshing||wrinkle hydrotonepm 70rink 33||scalp8502.9 clear shampoo46 amp||cottonabstip precision70 tips count||subung cow kids2.5ve packaging||cleanse simple scrub4221 16.69||2.9 49 scalp4.0uff clear therapy||su professionalsvefusionocc mor shampoo||curl motion pudding990 my 14hydrate||scalp1492.9 clear81 shampoo amp||scalp1132.9 clear volum root boost||scalp2.7 clear volum root conditioner boost||2.9 1.5uff clear72 therapy shampoo||lotion vase rescue0.3repairingline pump||ironington 64 curlinch53 therapy||scalp1952.7 clear conditioner82nourishing||mascara crusher 1966girl 800blast cover||cream simple2404.271hydrat lotion||hair motion marcare scalp 80 therapy||conditioner motion255 plus home2737||ve510 do bur23 go 14||acne strips noseporepul178 cleansing||sunscreen boat zone banana sport continuous cool||su rainforest150202ve2.5 conditioner||iron flat960 130500ington inch||bodyaxewash plus total11 shampoo||body vase0.3line total coco 17.||lay1.2 spectrum kits du total broad||eyeutecutebegrav cre 43||creamutecute1000 buyingbegrav||2.9 sport 49 mintuff clear therapy||conditioner motion masque92 conditioning 50 naturally	-0.12466108053922653||-0.3835034668445587||-0.38550662994384766||-0.4045868515968323||-0.46698299050331116||-0.5014932155609131||-0.5055806040763855||-0.5241352319717407||-0.5252100825309753||-0.54497891664505||-0.5578423142433167||-0.5616322755813599||-0.5630141496658325||-0.5715045928955078||-0.5956758856773376||-0.6070050001144409||-0.6221830248832703||-0.6259129047393799||-0.632088840007782||-0.6344254016876221||-0.6357345581054688||-0.6377081871032715||-0.6427640318870544||-0.6498252153396606||-0.6599282026290894||-0.6633340120315552||-0.6673646569252014||-0.6683172583580017||-0.6726396083831787||-0.676232635974884||-0.6776512265205383||-0.6791152358055115||-0.6800444722175598||-0.6850946545600891||-0.6881255507469177||-0.6888130903244019||-0.696384608745575||-0.7024393081665039||-0.7035887837409973||-0.7159465551376343||-0.7234591245651245||-0.7284592986106873||-0.7311297655105591||-0.732747495174408||-0.7330132722854614||-0.7336069345474243||-0.7358429431915283||-0.7395249009132385||-0.7409465909004211||-0.7447497248649597
A3S35UTTDO7605	4	lotionffeokke company hands working	nersonsdic witchzelpore ha||cleansephil cet42 bottles 26 23||nerhay witchzel hatal ver||mask claytecdianlbs secret river||sunscreenphil cet10502 packaging vary||lotionphil cet chronicbindngolin||lotionphil cet chronicbindngtur||layproxcount 2668 advanced system||nerwater heritage gourmet rose culinary petals||cleansephil cet normalogeniccom non0||cleansephil cet7376.0 bottles 22||acneactiv 2.5 management mask pro solution||hair miracle stops protector 10 things controls||lotionphil cet advancehydrat ultradesigned||evercreme coating parhour omega lush1||cleansephil cet normalogeniccom non1||vephil cet bar4.570 18.||shampoo miracleker preserve everydayatelasticity||lipstick glossimpact lip pay technique depending||eye coffeewho circlesrant swelling alleviat||acne neutr micro scrubclesolvogen||shampooholicliv rock dream energy stellar||mask masque shrink minthelpju queen||shampoo neutrogendu2785 7.||glycopha diligent hydrolong al percent||body ivory bottles simply 3248 simple||cleanse philosophywinning simple award melt purity||lotionffeokke company hands working||cream collagenives timelesslast4677||mirrorjerdoninch nickel table vanity||serum timeless concentration lackferbic acid||cleansing mi clarwhere adventuresonic compact||cleansephil cet originally gentletate associated||sunscreenphil cetcontrol 30,derma 18.||nerhay witch anytimezel ball ha0||remove towel neutrogenetteettes competitive||body hemp herbal seed sources extract pure||acneactiv attackbleforming existing pro||opibor boring traffic pink stuck trip||acne strips noseporepul178 cleansing||tint gar miraclenier renewcombiningbene||dryer tourmalski rev bumper speed||acne neutrogen5.038hydrat stress||lotioncerve releasestrytur mois||acneives scrub 644.54.052||shampooology zero colour8.5 concentratedhydrate||serumval renewalonformerly organic vitamin||mascaragirlblast320 cover tubefusion||body vase6.5line 45 total86||ironington digital5001669.95 ceramic	-0.4625703692436218||-0.4692246913909912||-0.5297642946243286||-0.555800199508667||-0.6031350493431091||-0.6073592901229858||-0.6226664781570435||-0.6303811073303223||-0.6306252479553223||-0.631041407585144||-0.6391889452934265||-0.6598709225654602||-0.684374988079071||-0.688164472579956||-0.6957637071609497||-0.7004425525665283||-0.7007879614830017||-0.7014528512954712||-0.7062161564826965||-0.7109947204589844||-0.7113462686538696||-0.7206802368164062||-0.7322804927825928||-0.7326815128326416||-0.7348740696907043||-0.7398070693016052||-0.7406235933303833||-0.7412587404251099||-0.7434484362602234||-0.7449404001235962||-0.7450012564659119||-0.7530065178871155||-0.7544980049133301||-0.7578805685043335||-0.758337676525116||-0.7635936737060547||-0.7692345380783081||-0.769256591796875||-0.7757109999656677||-0.7775655388832092||-0.7787501811981201||-0.7797560691833496||-0.7898091673851013||-0.7955474257469177||-0.7965481281280518||-0.7966261506080627||-0.7982590794563293||-0.79881751537323||-0.8009545803070068||-0.8107386231422424
A2L3LZCAU4AFZC	4	wig equalshake gal cold water caring	treegrass lemonbiandies psychic awareness||conditioner9.dutyifiergenerating weak beau||serumgrat lifting unprecedentedggy assists lifted||styling previously option permed innovator trends||friedjohn splend mousse volume luxuriousversus||mask claytecdianlbs secret river||ami styl mac travel luxe cute set||needle rollerroll issues micro enterprises almost1||butter shemilecham babyfrandeep||nerhay witchzel hatal ver||cleanse desertawa 250 original essence through||acne advantage spot clear medicine dissolve actually||cleanselogger zone superstar grimsoluble2001||mascara pigment contacts fruit5, chocolatelashes||cleanse purposesting cleansing wash gentle soap0||layproxcount 2668 advanced system||oil vegetable applicationsinecersoluble outstanding||brush den heavyman rowstatic187||cleanselogger zone superstar grimsoluble2000||self bake fake whil flawless assistsan||blush mama poidsbal puts sunny magnetic||lashampli rapid eyebrowperformance0.1lashes||heat frictionemme guard reform ruletre||peelicy sal quicker acidsoluble breaks0||dryer porcelain 2000 baby ceramicwatt generate||ironingtonstudio inch digital curl pearl||soap method hand60 sweet 2769||eye coffeewho circlesrant swelling alleviat||cleansing had puffdose refill neutrogen||emme10. fruct168 300 garnier||brushestool mineral buff eco shading containers||hair miracle stops protector 10 things controls||foundationbare0.2mineral spectrum groundbreaking||cream collagenives timelesslast4677||sunscreen shield 46amgram contributeaged||brushestool groomangled eco brushbrow||acne neutr micro scrubclesolvogen||hairlorera bal total8.5 reconstruct||wrinklereti50,000watt counter per young||lashesell acceleratorardbrowenablingeze||sponge mesh pouential aqua sud shower||gandiraga5.6 140 treatmentenriched||acneactiv 2.5 management mask pro solution||dryerair con124 tourwattmal||lashesellardlash dem fashion adhesive1||acne neutrogen 19. therapy37 complete||needle rollerroll issues micro enterprises almost0||brushes techniques real core 52ators collection||acne neutrogen5.038hydrat stress||cleanse purposesting cleansing wash gentle soap1	-0.3208268880844116||-0.3940580189228058||-0.4028041362762451||-0.4080350399017334||-0.4325253963470459||-0.5412738919258118||-0.5697899460792542||-0.6088988780975342||-0.6111593246459961||-0.6387736201286316||-0.64409339427948||-0.6469942927360535||-0.648786187171936||-0.6510884165763855||-0.6593793630599976||-0.6865220665931702||-0.7008321285247803||-0.7057734131813049||-0.7195546627044678||-0.7273123860359192||-0.732383668422699||-0.7353689670562744||-0.7384967803955078||-0.7410990595817566||-0.7469901442527771||-0.7539145946502686||-0.7607176899909973||-0.7622488141059875||-0.7628980875015259||-0.7674354910850525||-0.7724557518959045||-0.7810690402984619||-0.7852708101272583||-0.7858167886734009||-0.7924301624298096||-0.7978261709213257||-0.7991272807121277||-0.8031885027885437||-0.8089030981063843||-0.8126257658004761||-0.8135789036750793||-0.8184630870819092||-0.8269640207290649||-0.8386129140853882||-0.8500532507896423||-0.880211353302002||-0.8888652324676514||-0.8984917998313904||-0.8995910286903381||-0.8997374773025513
A16GGXNHLE5Z8V	4	art varnish beadsvia 350buy patience	nail painting crazy art drawingtting kitchen||art gem coloursdial000 decorationpod||nail detail artpens pride brushes 65||art sparkle dust decoration glitter tiplife||nail painting arrive business art tool drawing||nailtting marble pendicure2.1||art wheels unknown stone decorations wheel diy||nail ended marble painting painttting pen||cupper pride trim26 pocket world||nail marble dots pill decreasing end doing||art varnish beadsvia 350buy patience||art stickerogram tape strip bon pride||nail frenchnumbered09. sizes tips 500||nail cutter clipper510shop nice||nail cutterdial false clip acrylicper||art stones mostonehin shapesyou||art cellphone pieces bow1.2 45stone||art rollsunusedopened und unknown sticker||artstone400hinash chose beat||art 1800stone 1.5 roundmmhin||stamptting ended cheek art do sizes||coat proteintiquesche varnishcul vite1||stamp plates imageany sh 25 measure||stamp kon art13 nail polish89||stamp kon feedback ended colours art images||nail art mix acrylic builddial powder||gel gecri222 royallac 54||art decorations diy alloy tie bow 350||artstud cellphone 300 square pieces metal||stamp wheels decorations designs cheek stunning art||stamp express innovator decorate stencil spark salon||nail loading tasks pen mounted detailing petals||art wins wheels slicesonia wheel combo||nail fu oval 130 holders round total||stamp plates designs art backing cheek 160||art sticks rodart bon butterflies figures||art decoration glitter 45 colourshong fashionable||artadorecraft arts factoryery jewel||artstud 250 cellphone pieces silver125||art monster bundle rod sticks fi designs||lashes pairspit faketrimmed falselash||nail practiceash fingers blank skills art||gel edge 36excellent lampwatt tray||art200service wheelstone decoration glitter||nailtting pride pen marble worlddic||artadore marblettingzer000stone||art decorations diy acrylic slices tips sky||stamptting cheek art different do sizes||art slice fi144 lovely decoration animal||nail paint dryer portable reset convenience automatically	-0.16609522700309753||-0.2942342758178711||-0.34860125184059143||-0.467705100774765||-0.522811770439148||-0.5251815319061279||-0.5298108458518982||-0.5557715892791748||-0.5601905584335327||-0.5686910152435303||-0.5912600159645081||-0.5969122052192688||-0.6009655594825745||-0.601613461971283||-0.6107968091964722||-0.6141816973686218||-0.6243646740913391||-0.627932071685791||-0.6297857761383057||-0.6417146921157837||-0.6614199876785278||-0.6621189713478088||-0.6735495328903198||-0.6743090748786926||-0.6752816438674927||-0.6810266971588135||-0.6908677816390991||-0.6921151280403137||-0.694886326789856||-0.6958426833152771||-0.6993802189826965||-0.6994795799255371||-0.7018530368804932||-0.7025500535964966||-0.7123371362686157||-0.7152619361877441||-0.7208300828933716||-0.7288311123847961||-0.7317309975624084||-0.7329481244087219||-0.7362892627716064||-0.7406949996948242||-0.7460184693336487||-0.7461172342300415||-0.7521985769271851||-0.753567636013031||-0.754492998123169||-0.7569038271903992||-0.7577160596847534||-0.761344850063324
