sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm,residual_spread,safety_multiplier,attenuated
A104SG9QZ92UAH:validation:B0081D76VE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3576507866382599,1.0,0
A1051DBTLWP5A2:validation:B002C4BAHO,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3032870888710022,1.0,0
A10A3X3DM3DSWT:validation:B00000DMD2,head,34,25,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.32020702958106995,1.0,0
A10DB8F2M9TTOJ:validation:B006GGCO1K,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3590835928916931,1.0,0
A10L132FI5QHV6:validation:B008FB7PGS,tail,16,15,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.3104363679885864,1.0,0
A10Z8FC0SMU5VQ:validation:B00005O6B7,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2766963839530945,1.0,0
A1170CQK2UKXTO:validation:B000GUEXBG,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31107497215270996,1.0,0
A117A9HZC25ARO:validation:B0013EP1CO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3592093586921692,1.0,0
A11EIDY6DD40CS:validation:B000099Z8H,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.28001612424850464,1.0,0
A11FV5SOPO09DK:validation:B009T45X82,head,12,16,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.34287405014038086,1.0,0
A11O9OV93AFEHF:validation:B007XVYSDE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31044524908065796,1.0,0
A11QM8IY2QS1F5:validation:B001RNC1EM,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3058662414550781,1.0,0
A11YC5X2KDI12X:validation:B00C2P770W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.34064894914627075,1.0,0
A129PHJ3YO5JH7:validation:B0083TXXZ4,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3242719769477844,1.0,0
A12F1PQRSJBGPV:validation:161661658X,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3342319130897522,1.0,0
A12N345ZBT54K:validation:B005PXVP88,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3585788607597351,1.0,0
A12PSNCVDQRWR7:validation:B003EIK136,head,6,5,1,1.0,0.3562071871080222,1.0,1.0,0.38685280723454163,1.0,1,0,0.3078249990940094,1.0,0
A12R3UNL31XXBW:validation:B007AR5268,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2990148067474365,1.0,0
A139EDZNBVH4AX:validation:B00HB7GRTS,tail,9,7,1,1.0,0.3010299956639812,1.0,1.0,0.3333333333333333,1.0,1,0,0.33836492896080017,1.0,0
A13AI6YC5O244F:validation:B00068S82I,tail,5,4,1,1.0,0.38685280723454163,1.0,1.0,0.43067655807339306,1.0,1,0,0.3299318850040436,1.0,0
A13B7EVEAQW0IP:validation:B001AQ71HS,head,17,16,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.2939889430999756,1.0,0
A13DB60LCNF7QU:validation:B00BG8F0H8,head,18,34,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.3342965543270111,1.0,0
A13IBA8PM2LVB0:validation:B003O1XJ2S,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3462941646575928,1.0,0
A13JLK9XHEWA7C:validation:B001US4DOK,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3093743920326233,1.0,0
A13LNZ4M8212FP:validation:B007DW6DYU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3088115453720093,1.0,0
A13QOK3SKIT9QL:validation:B005GWWYBA,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3485124111175537,1.0,0
A13RRTU6I8IXSY:validation:B002THXRWK,head,,95,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.316478431224823,1.0,0
A13TUDSG4QK0P0:validation:B004PBHCAG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2780042290687561,1.0,0
A13VB2S47NBEHY:validation:B00AZZFT4M,tail,25,19,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.35873663425445557,1.0,0
A1402C1PCSSBDU:validation:B001NFTQFG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31114062666893005,1.0,0
A140ICK18NAAYR:validation:B0002HWFBS,head,4,4,1,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,1.0,0,0,0.3193519711494446,1.0,0
A14N3XLSXIJFSG:validation:B00804BCO6,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2962033152580261,1.0,0
