sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm
A00414041RD0BXM6WK0GX:validation:B00GRTQBTM,tail,,51,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A029527620Q3SK5XW16RR:validation:B001ET76EY,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A101E37WFPUEII:validation:B006L0XVEU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A103ZVTCQUF348:validation:B007R6AOA6,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10AVFDDU87KJ4:validation:B000271KR8,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10NJPRAGAWRCA:validation:B007PKSWQM,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10X8YSZ83R2AJ:validation:B001LXMI3M,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10Y098YW7HDZJ:validation:B007L7XQT2,tail,,83,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A11LGC72DJCXXZ:validation:B008PTPSF0,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11LZHTXDHSHA8:validation:B0063TVD94,tail,,54,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A122QASAEOTNM8:validation:B001H54VJI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12BZU9LUL2AOY:validation:B004WPGXSW,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12ID3728NY8AT:validation:B000HLH79E,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12LN1UTGCPU4R:validation:B005O30Q0M,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12RNPBA6RHPIG:validation:B001EXJPIU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12S38AVBTZ8HI:validation:B00F4VX9G2,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12S548AI0R7DU:validation:B006OHM1M8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12VIA1V32XSZW:validation:B006ZBP8NM,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A134C9GVEU5TQE:validation:B00GLS58SO,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A137GVYB96VNX3:validation:B007U90J5U,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A13JU88JAHN72I:validation:B006L67FKK,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A13QVE6RCEFJGX:validation:B000GCQV9G,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A13SJWLL0O7OYB:validation:B005GMYQ52,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A13STKDYQO5DQ8:validation:B0008IV7BU,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A1433NBG6QPR1D:validation:B009ND81NS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A149I93AGD8XQV:validation:B007RTR89S,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A14C1ATPQD4DY7:validation:B002UUT38I,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A14DR2RP5PAKNS:validation:B004VMGTY4,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A14G3AZAND93VM:validation:B00GTBZOVE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A14IKRE5S0GIL3:validation:B001V9OWNU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A14NKDOVP17SPD:validation:B006UETRWC,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A14S8FSBB506VR:validation:B008VHGW7Y,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A14X244VGHWPSX:validation:B00GZ18LL8,head,15,15,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0
A14Z6D3IRJ23F7:validation:B001TSQYHA,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A153K9PI177V6J:validation:B001U85CO0,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A15COO4M0DUCZX:validation:B007UM8ZGM,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A15LK8DSFQZZ52:validation:B00GTBZI6A,head,23,21,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0
A15ONGXK0WGXOU:validation:B004Y9L926,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A15UX89H2A2VZZ:validation:B00C7DYBX0,head,36,33,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0
A15ZZ0M4AZP8Z7:validation:B0021MLVA8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A160X2GYUQNQW0:validation:B006NMY0MS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A1645OHG1L9K34:validation:B005FVSH0O,head,37,37,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0
A164KUCBIO67RY:validation:B002VA4FX0,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A169G2DYSGDBEL:validation:B008HRRWHM,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A16D1QTSZ0G68N:validation:B0082D9UZS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A16DBWVWD7W4W8:validation:B001KYVLSU,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A16HOF1WQ53ISU:validation:B004M7L1XW,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A16O41ZVTTGSDK:validation:B000NE6QP6,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A16WEI24KY91IY:validation:B003UNP20W,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A16ZKKJHDWC44Y:validation:B00480JHWK,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A17437N1L775IJ:validation:B00HSNWXTI,head,19,18,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0
A176MY89Y44PWX:validation:B001189I3A,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A17A5EWM594WKZ:validation:B000NJJFBI,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A17FILE2EC6RFG:validation:B000AADG0G,tail,,52,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A17IEL3C0LQYRE:validation:B00A76CPUA,head,2,2,1,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0,0
A17RN0P9J4B11T:validation:B009RNUH7C,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A17UEV3W4G7WJL:validation:B002PBLH3Q,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A17WAAOYWQFY2T:validation:B002PBLH3Q,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A18A1MUFQPDD7G:validation:B001P3074A,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A18BYJLY7EZ2QS:validation:B004D282AQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A18C1XO7WMOFTD:validation:B004LXHEX8,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A18D6WRAZ57IK6:validation:B006UETAB0,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A18EIQ7C6XGYNG:validation:B002S8S036,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A18GSWU5KYWBXL:validation:B000F35R00,head,17,16,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0
