idx	offset	gold	pred	scores
A226GFM0Q9L37H	3	dollbiechelhouse invited	dollbiechelhouse invited||leap ebookcou read me||dollmai pearlbiemer||game board28 coins earn||game cardrenz seekersied||craftsinci salon hair change||drawing markers glitter wonder paper||game board28 luxe collections||setmobilant nice updating||doll alive she surprises shaking||doll accessoriesoxiverymai||baby ballskle rattlewinkel||game board cruchamele||baby fish crawl 49 centers||ney so jealouscia royalty||neyrieltal palace bath||game board28 sorry edition||leap write iphone pencilpod||neyriel afternoon garden lazy||building mari ghostrangboo||game matching spotvarying decorated||neynnie pamper salontique||dollmyander mad monkey||leaprog 2.0 grover||doll accessoriesart cutielittle||game board insights pe pass||game board twist dance rave||drawingcra virtual smartphone fashion||ney princess artistic 120 studio||gameyah dice gamingze||drawing paint watercoloroutlines2.6||pony piestriaque friend||drawinglaoodlecra expect||water poll yacht tropical destination||game board clue72 edition||ney princess guess honored partnership||baby fish303 iphone garage||cars marikarpirha||game board28 spot137||game board carrot holes bun||ney castle fairypos mari1||babytech tree grow 29||ney castle fairypos mari0||pretend kitchen cook shop cart||wagon tri plasmacar 38||doll alive sick she nurturing||drawing eraseboard203 dry||buildingex stem devices automation||baby cameracam project pics||ney castle dream princess ultimate	-0.4747636318206787||-0.5049247145652771||-0.5473421812057495||-0.5550701022148132||-0.5571308732032776||-0.6131251454353333||-0.6394408941268921||-0.6633518934249878||-0.6849188208580017||-0.7212982177734375||-0.7306984066963196||-0.7401276230812073||-0.746771514415741||-0.7670104503631592||-0.7750656008720398||-0.7811229825019836||-0.7886984944343567||-0.7889785170555115||-0.7893552184104919||-0.7953787446022034||-0.7971852421760559||-0.7990261912345886||-0.8097460269927979||-0.8212885856628418||-0.826434314250946||-0.829289436340332||-0.8330358862876892||-0.8382384777069092||-0.8418376445770264||-0.8428025245666504||-0.849101722240448||-0.8499165177345276||-0.856995165348053||-0.857646644115448||-0.8685680031776428||-0.8691933155059814||-0.8740949034690857||-0.8754376769065857||-0.8883590698242188||-0.8901742100715637||-0.8944406509399414||-0.8960152268409729||-0.9044869542121887||-0.912808358669281||-0.9179937243461609||-0.9181576371192932||-0.919079601764679||-0.9198881983757019||-0.9280555248260498||-0.9315967559814453
AGBD6P8Y1E42A	3	drawingcra brushla art	pretend kitchen dish specs emissions||mel food fridge chilleddeciding||pretend kitchen saucepan lid mit||mel pretend bake slice cookies||mel stickers habitatreusable oasis||mel food cuttingsliced fraction||mel food sandwich felt02||pretend kitchen chef specs green||mel food kitchen cream scoop||pretend kitchen0.1 baking dining||mel food shopping cart market||animals pillow closurevelcro2||pretend kitchen chefskraft cook||doll baby bottles juice milk||pretend kitchen vintagematerial feast||drawing paint bottles spill inevitable||set people medical doctor ordered||pretend tea approved drink contain||drawing crayonularang wax||wagon sports basketballcore197||drawing paintpai340 paper||drawing crayon tub bath star||wagon tri plasmacar 38||mel wooden carrier44 17||mel food veggies harvested seasonal||mel stickers pagesreusable five||pretend kitchen flavorfood taste||doll babybornsmelling je||mel stickers sticker padforward||pretend kitchen pastel culinarycup||baby laugh sing opposite click||pretend bio petit hab petits||mel foodrate fruits slice||pretend bio chickengiving baked||pretendhap salad garden choices||wagon equipment coasthill roller||mel stickers sticker couture 700||mel sunny bugs bugologists||pretend dress encompass spectrum importantly||mel puzzle generous newlydesigned||drawing markerssta expressionpers||mel paint brushes handlespainters||drawing glow prest max dots||pretend kitchen espressotown daily||animals puppet lovely authorized finger||mel puzzle chunk beneathpainted4||building science gear...pillar||doll babytellach 27||pretend kitchen cook chef187||animals plusrier76ffe	-0.5884748101234436||-0.6491687297821045||-0.6497946381568909||-0.7650472521781921||-0.7664544582366943||-0.7831888794898987||-0.7898924946784973||-0.7935228943824768||-0.8151692748069763||-0.835698127746582||-0.837931215763092||-0.8385533690452576||-0.8515326976776123||-0.8602527976036072||-0.873802900314331||-0.8863402009010315||-0.8895866870880127||-0.8922668099403381||-0.8950044512748718||-0.9087715148925781||-0.9164767265319824||-0.9253816604614258||-0.9261634945869446||-0.9263732433319092||-0.9266015887260437||-0.9287161231040955||-0.9297177195549011||-0.9337970614433289||-0.9390134811401367||-0.9507157206535339||-0.9510844349861145||-0.9532277584075928||-0.9593421816825867||-0.9755190014839172||-0.9802128672599792||-0.9820702075958252||-0.982610285282135||-0.9828135967254639||-0.9866682887077332||-0.9881767630577087||-0.989109992980957||-0.989456832408905||-0.9917041659355164||-0.9917600154876709||-0.9978228211402893||-1.003566026687622||-1.004193902015686||-1.010424256324768||-1.0310970544815063||-1.0336499214172363
A13WBUX01Q4D35	3	sports videointe wi75	mel puzzlesawtrays playful||wagon luggage trunkcatches integrated1||ney castle154plocind||neyriel coachric song||cars hotcar wheels pack||neyriel figurinemulmine||cars hottreunable warned||cars hotlaneway race||cars race listing pull twelve||mel trunk placement stickersface||sports ball gag necessarily5.7||ney castlequo princess stories||water party favor lua tropical||cars hot elimination mergelane||cars hot trio stunt ramp||vehicles cater catwheelscale||neynnie minnies47||ney tentkos indoor princess||neyriel swimmingthese waist||neycind carriage weddingella||mel puzzle generous newlydesigned||cars hot garage levelstile||dinosaursortedsaurusphal0||cars hot starter07 wall||cars racerais shell turtle||neyara necklace petite gift||ney castle wedding 54 royal||ney castle sleeping beautyplo||ney castleco remembered cake||dinosaursortedsaurusphal1||ney braveridangix||neyriel tub bath tara||actionschl fleurdelipainted||neycind carriageellaplo||cars hotcoping casetele||neycind carriagetransformingella||mel puzzle letter4.9 case||leaprogphon factory letter||neynniegar mi bow||melis ease caregiver art||cars hot wheelscast 20||mel puzzle differentiation latch craftsmanship||neyriel bathbasqui||cars hotcarbox gift||sports partyelf christmas tradition||ney braverid ambitious revisit||vehicles garbage bin trucksbru||mel sortpound benchnaming||game thinkzing tiles bingo||mel magnetic fishing dropping magnet	-0.5765001177787781||-0.5902954936027527||-0.6507572531700134||-0.6859419941902161||-0.6988978981971741||-0.7230913639068604||-0.7442458271980286||-0.7641310095787048||-0.780343770980835||-0.8119534850120544||-0.8163519501686096||-0.8476441502571106||-0.854392945766449||-0.8671472072601318||-0.8736560344696045||-0.8805655837059021||-0.8834574222564697||-0.8947176337242126||-0.9124345183372498||-0.9136828780174255||-0.9141006469726562||-0.917572021484375||-0.925442099571228||-0.9320535063743591||-0.9362978339195251||-0.9432363510131836||-0.9455869197845459||-0.946567714214325||-0.9473478198051453||-0.9548675417900085||-0.9629778861999512||-0.9632578492164612||-0.963402509689331||-0.9689218997955322||-0.9717404246330261||-0.9758554100990295||-0.9761533141136169||-0.9768791198730469||-0.9780636429786682||-0.982673704624176||-0.983294665813446||-0.9875419735908508||-0.9928941130638123||-1.0005813837051392||-1.0085641145706177||-1.0118297338485718||-1.0228620767593384||-1.0243045091629028||-1.0244085788726807||-1.025335431098938
ADRHC427TKK5U	3	building alequoheft school	building resources fruits counting intervention||doll domanipulated bilingualhouse||game boardium satisfied shelter||building le plate farms towns||building aleeye chunk thinking||buildingplo du165 55||building resources counter tub eure||building ale string readiness ab||building resources bear topic eure||musical drumgui resilient musicians||building magnatiles triangle1||building ale2.9 early string||building resources cookies counting coated||building magnatiles triangle2||building resources cupcakepartcorresponding||buildinggitpak generated junior||dollhousevan furnishednah||setmann drill drilling screws||building le platestudconstructing||building letters individuals magnet660||mel wooden carrier44 17||building magform triangle platinum||buildingplo du brick cars||building resources fraction tiles percentage||building shapes geometric apart capitalize||melis ease caregiver art||building money crispy riceam||building alequoheft school||buildingplo du380290||doll babybornsmelling je||building resources fruitavalan||mel food cuttingsliced fraction||building stack eggs gently crack||building le25016605||dollhouseannabell dull||buildingplokeeper dupolar||pretend medical doctorstescope||musical piano keyboard4.2ow||mel puzzle chunk beneathpainted4||buildingplokeeper nurses arrived||building resources relation nutrition bush||pretend food vegetables vegetable garlic||doll babyannabribodied||doll baby bottles juice milk||building shapes roller pleasant agility||building ale standalonehap alphabet||musical guitar instruments strings255||dollhouseuca nurturinghold||pretend kitchen vintagematerial feast||doll accessories diary backpack beautifully	-0.6348510980606079||-0.68684983253479||-0.6899330019950867||-0.7196305394172668||-0.7211050987243652||-0.7342240810394287||-0.7350667119026184||-0.7455939650535583||-0.7544501423835754||-0.7548299431800842||-0.7746038436889648||-0.7883469462394714||-0.7949660420417786||-0.7956759333610535||-0.8063663840293884||-0.8171122670173645||-0.8593741059303284||-0.8630385398864746||-0.8735770583152771||-0.8736651539802551||-0.9002807140350342||-0.9012293815612793||-0.9033327698707581||-0.9077892303466797||-0.9118197560310364||-0.9148402214050293||-0.9180977940559387||-0.928348958492279||-0.9400895237922668||-0.946317195892334||-0.9478088021278381||-0.9529232978820801||-0.958045244216919||-0.9583315253257751||-0.9676588177680969||-0.9707828164100647||-0.9739750027656555||-0.9767497181892395||-0.9774639010429382||-0.9776296615600586||-0.9781560897827148||-0.9787170886993408||-0.9863781929016113||-0.9898292422294617||-1.0061486959457397||-1.0108915567398071||-1.016992449760437||-1.0191534757614136||-1.0196563005447388||-1.0200399160385132
A3QNQQKJTL76H0	3	leap ebookcou read me	puzzle floor235mbo 54||vehicles remotechuck bumper bump||leap ebookcou read me||sports educationgan dome189||cars hot jumpcrashingboosted||building le construction187 road||sports educationganur maker||puzzleplex ma plasmaze||puzzle floorburger rave demands2||cars hotarm revolution wall||sports ball baseball trainer field||sports video notebook font neue||sports education bloclong engine||sports blast recon solar190||vehicles air proximitytron detect1||puzzlewhi pas revivalies0||sportsbla pipe halfde||vehicles air proximitytron detect0||leap ebook sightpad read||action iron reppower missile||sportsarrow squeezepig foam||sports ball baseball reaction agility||leapexplorerphinfermir||puzzle216ffel 9930||craftseffiwalk runway projection||game boardanz foreheadduce||leappad tabletexplorer 36||drawingcra jewelry studio model||puzzleburger rave demands completion6||game board twistrowive||puzzlewhi pas revivalies1||puzzleburger rave demands completion4||puzzle floorburger rave demands0||sportsarrow hunt refillrtz||gamemonopol deal 1975 debt||sports uncle camp0.2fire||carscherat drag strip||doll accessoriesoxi snowphin||game boardquel sentence picking||puzzle floorburger rave demands1||puzzleball 180xx globe||sports ball baseballbatting trainer||sports education bloc3.4 weird||sportsarrow bowcur handed||puzzleburger rave demands completion3||transformer prime172 optim moon||sportsarrow bow curve hunt||sportsnernitro vor111||puzzleburger rave demands completion5||action figures145 triple2.5	-0.5861871838569641||-0.6467000246047974||-0.6666268110275269||-0.6771613955497742||-0.734764814376831||-0.7362977862358093||-0.7481254935264587||-0.75534987449646||-0.7603949308395386||-0.7629892230033875||-0.7692165374755859||-0.7770886421203613||-0.7806131839752197||-0.7951205372810364||-0.7964729070663452||-0.7971041798591614||-0.804234504699707||-0.8063302040100098||-0.8095852732658386||-0.8103708624839783||-0.8119240403175354||-0.8161473870277405||-0.8187209963798523||-0.8239648938179016||-0.8294291496276855||-0.8307495713233948||-0.8323342204093933||-0.8324732184410095||-0.8360870480537415||-0.8392708897590637||-0.8436193466186523||-0.845394492149353||-0.8517230153083801||-0.8613142371177673||-0.8621017932891846||-0.8632298111915588||-0.8656458258628845||-0.8706539273262024||-0.8876451849937439||-0.8938565850257874||-0.8939653038978577||-0.8952369093894958||-0.9025177359580994||-0.9102635979652405||-0.9112910628318787||-0.9216213822364807||-0.9252126216888428||-0.9370978474617004||-0.9419170618057251||-0.9434705376625061
A3KDZA2MRC39CG	3	craftsdesign stencil manal0	animals ses cookie monster sing||puzzleburger rave demands completion6||sports education bloc501plan||set wheelusementoop loop||vehiclesrig fontdiscoveredologist||craftsdesign stencil manal1||craftsdesign stencil manal0||puzzleburger rave demands completion4||water swingwirwhi overhead||puzzleburger rave demands completion2||puzzleburger rave demands completion5||set wheelzigrig 38||puzzleburger rave demands completion3||pretend cake shake swirlpe||pretend tea servi kitchen surprises||puzzleburger rave demands completion0||leaprog retail bus 54||wagon scooterrunner rough air||animalsstuffedaji matte snow||animals fur bun hop belong||dinosaur imaginetre 32 mega||puzzle floorburger rave demands2||leaprogsho88859||baby fish eruption spenox||doll aliveucasian188||vehicleschuckaultblin roll||animals ses bird gun street0||carsarffel tire crash||set people camerascord cam||trainmas quarry cargo deposits||vehicles remotechuck bumper bump||vehicles remote cop103 holiday||neyzelangledrap glow||carscheratpick race||mel woodenttlewhi bus||angry birds planet variabilitypig||trainmaster crank4.5set||babysko countslion pop||building ale2.9 early string||puzzleburger rave demands completion1||vehiclesrig smoke6.0107||baby toddlerpoocho wi||ney palace 4644 songs||puzzle floorburger rave demands1||puzzle rave linenrome evening||vehicleschuck tornado tower racing||game board snail pace race||drawingoodleetch sketch screen||pretend kitchen suite elitekraft||sports uncle cricket camp lantern	-0.23267747461795807||-0.6367148160934448||-0.6686418056488037||-0.6931294798851013||-0.7131167054176331||-0.7137041091918945||-0.7145289182662964||-0.742548406124115||-0.7495564818382263||-0.7690763473510742||-0.772099494934082||-0.7796034216880798||-0.7877572178840637||-0.7975022792816162||-0.8078280091285706||-0.8173199892044067||-0.8380866646766663||-0.8477826714515686||-0.8478562235832214||-0.8576990962028503||-0.8640411496162415||-0.8648669123649597||-0.8679391741752625||-0.8769572377204895||-0.8805639147758484||-0.8858532905578613||-0.8904048204421997||-0.8912681937217712||-0.9030758738517761||-0.9031167030334473||-0.9042394757270813||-0.9114577770233154||-0.9123768210411072||-0.9151668548583984||-0.9172935485839844||-0.9179053902626038||-0.9193894267082214||-0.9222350120544434||-0.9234640002250671||-0.9273587465286255||-0.9322941303253174||-0.9331851005554199||-0.9339986443519592||-0.9519924521446228||-0.9551298022270203||-0.9554321765899658||-0.9565297961235046||-0.9681105017662048||-0.9708669781684875||-0.9729263186454773
A1W84YXJ54KG02	3	drawing paint temper artist convenience	mel paint brushes handlespainters||melis ease caregiver art||mel paint spill cups proof||drawing paintpai340 paper||drawing wonder markers opposed upholstery||drawing bond ease 20, pad||drawingcra brushla art||drawing paint watercolor wash305||drawing paint brushes cupstub||drawing paint temper artist convenience||mel paint brushes mediumoutlines||drawing markers wash broadla||melis ease paintproof||mel paint brushes painting br||drawingock clean worryreusable||drawing easefunctional dates dryer||drawing bond pages coloringawaiting||drawing paintspirim moisture||drawing ale cloth drop painting||drawingockronssorted artists||wagon sports basketballcore197||mel paint poster coverageounce||sports education bloclib5.2||drawing markers 64pens coloring||drawing bookpublicformatactivity||drawingoodle screendler travel0||animals pillowlite dream tranquil||drawing easefunctional datesnum||building le plate farms towns||drawing bookformatback pads||drawing bond outline pagesudge||drawinglacraoodle painting||wagon tri plasmacar 38||drawing paint bottles212 wash||drawing bond chalk bundle erase||mel paint watercolorawaiting contained||drawing markerspens 50 thin||water stepwheel elevated boats||drawing paint enamel hobby promotional||sports rocketmp assistant air||wagon cozy coupeannisay||drawing ease stool deskoodle||drawing paint bottles spill inevitable||building resources bear topic eure||building letters individuals magnet660||building le25016605||sports uncle globe0000graphical||leappad recharge tablet adapt||water pool sunset inflatable glow||building ale varnish string chunk	-0.2738533616065979||-0.5180893540382385||-0.5518861413002014||-0.5546616315841675||-0.5790117383003235||-0.6501989960670471||-0.6580896973609924||-0.6740656495094299||-0.6916005611419678||-0.6989875435829163||-0.7311415076255798||-0.7661702036857605||-0.7802276611328125||-0.7877914309501648||-0.8274009227752686||-0.8642416000366211||-0.8725888133049011||-0.8947327733039856||-0.9011686444282532||-0.9281740784645081||-0.9380626082420349||-0.9593066573143005||-0.963780403137207||-0.9648481011390686||-0.9856171607971191||-0.9975441694259644||-0.999405562877655||-1.001222014427185||-1.0043777227401733||-1.0064620971679688||-1.00894296169281||-1.0117791891098022||-1.0239322185516357||-1.0282312631607056||-1.0328079462051392||-1.0343952178955078||-1.0479609966278076||-1.0489461421966553||-1.0560857057571411||-1.0582845211029053||-1.0722273588180542||-1.072410225868225||-1.0868467092514038||-1.0922130346298218||-1.0925828218460083||-1.0943857431411743||-1.0965973138809204||-1.0973173379898071||-1.1027610301971436||-1.1036163568496704
A3B7KA98ABG1FL	3	sports ball baseball glove tech	trainmasterized track added||trainmasmaster track puff||building build straw connector structures1||sports ball baseball glove tech||cars jam case trucks rugged||dinosaurich metreschisau||cars jam obstacle truckshook||carsix radiatortown spring||train track brands major right0||cars hotcar wheels pack||cars mat moon dvd short||cars hot wheelscast 20||crafts mosaic sticky balleterin||train track brands major right1||cars race listing pull twelve||leapread vow preparation studies||cars mat truckdeluxe monster||trainingtonsonstrack114||leapread vow shortounded||carsix bed tent headboard||cars drift micro films permits||leap tag juniorread tidy||vehicles airplane1.9 bitspart||vehicles fire rush state ladder||building citybedwoman broken||wagon scooter radio capabilities my0||game board starebrow challenging||leap writecri accuracy writing||leaprogreading tag purple||cars die soccer tech air||leap juniortataazo bass||vehicles bootsigablaze br||building le platestudconstructing||vehicles plane crop dust runway||cars racerais shell turtle||musicalmp11. tunehat||leaprog199 chatcou||leapread junior spatial reasoning||cars hotlaneway race||leaprogcouread junior||carsixram shiftone||building mathplication nine 5,||set jaglasske pirate||cars die cast pipar||leapread junior vocabulary importance||cars jam trash junk scrap||vehicles truck dump61 15.||vehicles bootshopper big din||train railway jam splendidvari||cars jam final crash barrel	-0.37941160798072815||-0.41035863757133484||-0.5441316962242126||-0.6728541851043701||-0.7296793460845947||-0.7383155226707458||-0.7401408553123474||-0.7442317008972168||-0.7483965754508972||-0.7593367695808411||-0.7796106338500977||-0.7827240824699402||-0.8013660907745361||-0.8121562600135803||-0.8206568360328674||-0.8286531567573547||-0.8411304354667664||-0.8477106690406799||-0.8479568362236023||-0.8516929745674133||-0.8544182777404785||-0.8550980687141418||-0.8961141109466553||-0.897209107875824||-0.9015682339668274||-0.9069417715072632||-0.9088630676269531||-0.9105527400970459||-0.9115661978721619||-0.9202919006347656||-0.9203434586524963||-0.922670304775238||-0.934478223323822||-0.9524573683738708||-0.9543953537940979||-0.9544925689697266||-0.9636905789375305||-0.9679990410804749||-0.9682700634002686||-0.9755744934082031||-0.9803102612495422||-0.9824405312538147||-0.9826140403747559||-0.9863261580467224||-0.9925671219825745||-0.9981805682182312||-1.0029436349868774||-1.0106765031814575||-1.0111106634140015||-1.021511197090149
AVBLGXSWRN666	3	sportsblo coastexprimarily	sportsblo coastexprimarily||sportsblo coastonic swirl||sports sciencequ biologylab||game matching rid buzz answer||puzzlewhi pas revival cathedral||puzzlewhi pas revivalies1||game matching spotvarying decorated||game board28 coins earn||puzzlewhi pas revivalies0||game diceroll20 odd||vehicles remote runners maisrunner||sports science energy heaterdelve||building trek enterpriseirk sauce||action figuresmur mushroom cottage||game board28 luxe collections||buildingex375 models113||game board guessdeschar1||cars hotarm revolution wall||crafts americanckenstring 2012||sports science electricity conduct graffiti||game boardng explode boom||cars charge rebound stunt charger1||puzzle216 puzz landmark||sports science crystal gemstone quartz||drawingcra crayon152la||buildingex students concepts exploring||game board insightsplication answered||game board laser pyramid hier||sports journalancy wildlifecular||building trek invasion316ville||game board clue72 edition||crafts americancken 2012 girl||cars charge rebound stunt motorcycle1||sports journalancy underwater science||cars charge rebound stunt charger0||angry birds smash destroyex||helicopterhog automated multiplayer single||gameyah hustle score gut||puzzleaugmented realitydegree times||leaprog guitar musicians rock||cars charge rebound stunt motorcycle0||puzzleburgerow giant rave||game board2814763||animals bear1.5 crawl turtle||drawing color bloom transformation customize||gamemonopol edition 2198||game card un unit blast||drawing color inspiration 04inclusiv||buildingex 700 50 model||action rangeforce sword ultra	-0.11171974986791611||-0.3781697452068329||-0.4695541560649872||-0.6570058465003967||-0.6803669333457947||-0.6985634565353394||-0.719426155090332||-0.7428719997406006||-0.7604731321334839||-0.7732695937156677||-0.7924382090568542||-0.798212468624115||-0.8351280093193054||-0.8503649830818176||-0.8675240874290466||-0.8865317702293396||-0.8884761929512024||-0.8922045230865479||-0.9100633263587952||-0.9164667129516602||-0.9188433289527893||-0.9337795972824097||-0.9460002779960632||-0.9620819091796875||-0.9658102989196777||-0.9775939583778381||-0.9782508015632629||-1.0039678812026978||-1.0080981254577637||-1.0185655355453491||-1.018748164176941||-1.0207489728927612||-1.025325894355774||-1.02584969997406||-1.0348131656646729||-1.0351808071136475||-1.0416687726974487||-1.0638751983642578||-1.0666831731796265||-1.071419358253479||-1.0728716850280762||-1.0791455507278442||-1.0803124904632568||-1.081055760383606||-1.0874491930007935||-1.0881296396255493||-1.102989912033081||-1.1079769134521484||-1.1097813844680786||-1.1123900413513184
AGE1KK0E2THTN	3	game board carrot hilljack	animals mari bow importpan||animals mari measuredddling china||animals mariach appearing clan||animals mari bone dry224||animals marishiawaiting measured||animals mari lui201 measured||animals hedgeonichog protagonist||animals mari troopoop measured||animals marispectboo tongue||animals mari brotherspirha||action figurespap certification actively||animals plusette20516||building mari lui bike standard||animals mariomb mushroom common||animals hedgeuckonicles||action figures gaming video wi1||angry birds warbac star1||action figures gaming video wi0||sports light sword buccan||sports party cake campingpper||sports light finger fingers led||game card humanity horrible against||animalskinpom webfection||sports microscope butterflies observe insect||angry birds knock27 wood||animals plus chic sprout sunny0||angry birds warbac star0||cars mari wikar track||loom bracelet band rainbow step||angry birds downloaded brother178||helicopter channel107smallest functional0||helicopter channel107smallest functional1||animals mari officiallyinte licensed||sports party maskaccments||animals plus canned meateek||sports videointe wi75||animalsaniattend dog 1998||sports uncleltonphysics mi||buildingginsshirebit fellowship||animals plusbatice profound||sports light finger laser elastic||animals mariach clan appearing||action rangeforce mega06||animals mari linkzelinte||game card cards scrutin dealer||sports science crystal disgust222||sports party gag liquid evaporate||sports videointend5.5||animals plus chic sprout sunny1||sports microscope bionica documents	-0.22109495103359222||-0.40810373425483704||-0.4528098404407501||-0.5275806784629822||-0.5670199990272522||-0.5860298275947571||-0.6198758482933044||-0.6522156596183777||-0.7410635352134705||-0.8117030262947083||-0.8142578601837158||-0.8184483647346497||-0.8188509941101074||-0.8525424003601074||-0.8756964802742004||-0.8833826184272766||-0.8887470364570618||-0.8972871899604797||-0.9007893204689026||-0.9051635265350342||-0.9160454869270325||-0.9250030517578125||-0.9434916973114014||-0.971045970916748||-0.9738311171531677||-0.9823331236839294||-0.9996476173400879||-1.0014046430587769||-1.0037394762039185||-1.0064078569412231||-1.0383822917938232||-1.0390249490737915||-1.0433926582336426||-1.061429500579834||-1.0614486932754517||-1.0672571659088135||-1.0752924680709839||-1.0769312381744385||-1.0805572271347046||-1.0812138319015503||-1.090091586112976||-1.0968140363693237||-1.112824559211731||-1.1175285577774048||-1.131438136100769||-1.1330963373184204||-1.1398098468780518||-1.1462980508804321||-1.1464720964431763||-1.1682729721069336
