user_id	cached_rank	candidate	cached_score	recomputed_score	delta
ASZ8W38C6GQPK	1	building marble queetti guidelines0	-0.5460585	-0.5460637807846069	-5.280784606931377e-06
ASZ8W38C6GQPK	2	train railwaymat carry case	-0.62483186	-0.6246545910835266	0.00017726891647340537
ASZ8W38C6GQPK	3	train railway sihatham	-0.6267388	-0.6268441081047058	-0.00010530810470577023
ASZ8W38C6GQPK	4	game matching mo barn un	-0.6486673	-0.648608386516571	5.891348342890179e-05
ASZ8W38C6GQPK	5	train railway troublesome trucks0	-0.65771	-0.6576615571975708	4.844280242921606e-05
ASZ8W38C6GQPK	6	building magform triangle platinum	-0.6961768	-0.6961007714271545	7.602857284549902e-05
ASZ8W38C6GQPK	7	train railwaybulbridgestro	-0.71350545	-0.7132678031921387	0.00023764680786131365
ASZ8W38C6GQPK	8	building marble queetti guidelines1	-0.7388635	-0.7389355301856995	-7.203018569945652e-05
ASZ8W38C6GQPK	9	building marble transparent visually 48	-0.73920923	-0.73920077085495	8.45914505009926e-06
ASZ8W38C6GQPK	10	train railway signal signals sights	-0.75121206	-0.751234233379364	-2.217337936405439e-05
ASZ8W38C6GQPK	11	train railway eating spoon pleasant	-0.76231384	-0.7624313235282898	-0.0001174835282897746
ASZ8W38C6GQPK	12	building marbleleid queetti	-0.78339416	-0.7832460403442383	0.0001481196557616693
ASZ8W38C6GQPK	13	building magnatiles triangle1	-0.7960243	-0.7960399985313416	-1.569853134153476e-05
ASZ8W38C6GQPK	14	train railway gates crossing railroad	-0.8034981	-0.8036267161369324	-0.00012861613693238017
ASZ8W38C6GQPK	15	train track brands major right0	-0.803598	-0.8035604357719421	3.756422805789583e-05
ASZ8W38C6GQPK	16	building magnetic word words fridge	-0.8227153	-0.822729766368866	-1.4466368865928558e-05
ASZ8W38C6GQPK	17	building marble que voretti	-0.8251794	-0.825432538986206	-0.00025313898620604736
ASZ8W38C6GQPK	18	building magnatiles triangle2	-0.8253869	-0.8253665566444397	2.0343355560337173e-05
ASZ8W38C6GQPK	19	train railwaytrack adapt01	-0.8414001	-0.8418223261833191	-0.00042222618331910766
ASZ8W38C6GQPK	20	building drill activity center bits	-0.8541353	-0.8541548252105713	-1.9525210571247342e-05
ASZ8W38C6GQPK	21	building math hour minute clock	-0.85494065	-0.8550556302070618	-0.0001149802070617989
ASZ8W38C6GQPK	22	train railway jam splendidvari	-0.8608751	-0.8607774376869202	9.766231307983819e-05
ASZ8W38C6GQPK	23	train railwaylionodorippo	-0.89015406	-0.8902266621589661	-7.260215896609523e-05
ASZ8W38C6GQPK	24	trainmas tunnel mineending	-0.8921904	-0.8920204043388367	0.00016999566116338016
ASZ8W38C6GQPK	25	building magnetic imagine202 boost	-0.8930674	-0.8932018280029297	-0.00013442800292973178
ASZ8W38C6GQPK	26	building science gear...pillar	-0.8947847	-0.8948245048522949	-3.980485229493347e-05
ASZ8W38C6GQPK	27	game board28 mysteriestown	-0.900609	-0.9007040858268738	-9.508582687378642e-05
ASZ8W38C6GQPK	28	building resources bear topic eure	-0.9034063	-0.9035437703132629	-0.000137470313262944
ASZ8W38C6GQPK	29	train trackinch 1, straight	-0.90375346	-0.9035828709602356	0.00017058903976441275
ASZ8W38C6GQPK	30	building shapes geometric apart capitalize	-0.90687937	-0.906848669052124	3.070094787593902e-05
ASZ8W38C6GQPK	31	buildinggit jumping ended we	-0.9074905	-0.9072466492652893	0.0002438507347106711
ASZ8W38C6GQPK	32	game board28 spot85	-0.91258997	-0.9126110076904297	-2.1037690429714928e-05
ASZ8W38C6GQPK	33	train railway station conveyor smart	-0.9146555	-0.9149150848388672	-0.0002595848388672328
ASZ8W38C6GQPK	34	building math skill sharkreminiscent	-0.9158306	-0.9158970713615417	-6.647136154169786e-05
ASZ8W38C6GQPK	35	train railway aquarium cars370	-0.9186409	-0.9185323715209961	0.00010852847900388873
ASZ8W38C6GQPK	36	train track brands major right1	-0.9333123	-0.9332408905029297	7.140949707029609e-05
ASZ8W38C6GQPK	37	buildinggit starterhis assure	-0.9469847	-0.947037935256958	-5.323525695799525e-05
ASZ8W38C6GQPK	38	building letters individuals magnet660	-0.9593951	-0.9594056010246277	-1.0501024627740385e-05
ASZ8W38C6GQPK	39	game card humanity horrible against	-0.9603638	-0.960301399230957	6.240076904295844e-05
ASZ8W38C6GQPK	40	trainmasdon express locomotive	-0.96294755	-0.9629591107368469	-1.1560736846938369e-05
ASZ8W38C6GQPK	41	train railway shedmouth days	-0.9634382	-0.9634717106819153	-3.3510681915260854e-05
ASZ8W38C6GQPK	42	setmann drill drilling screws	-0.9636342	-0.9636142253875732	1.9974612426754135e-05
ASZ8W38C6GQPK	43	melis ease caregiver art	-0.96788245	-0.967719554901123	0.0001628950988769029
ASZ8W38C6GQPK	44	game thinkzing tiles bingo	-0.96942896	-0.9695321917533875	-0.00010323175338744495
