sample_key,user_id,target_item,target_group,depth,gold_token,is_eos,competitive,legal_child_count,legal_mass,illegal_mass,loss_gap,full_rank,legal_rank,formula_error
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,B008LQXR82,head,0,3203,0,1,30,0.9985819458961487,0.0014180541038513184,0.0014190673828125,1,1,6.888717399029104e-09
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,B008LQXR82,head,1,15721,0,1,28,0.9956227540969849,0.004377245903015137,0.00438690185546875,1,1,4.776308269727192e-08
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,B008LQXR82,head,2,20527,0,1,8,0.9642270803451538,0.03577291965484619,0.03642845153808594,1,1,4.951104803918582e-11
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,B008LQXR82,head,3,17572,0,0,1,0.9999997615814209,2.384185791015625e-07,2.384185791015625e-07,1,1,2.842171393026654e-14
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,B008LQXR82,head,4,9830,0,0,1,0.9999949932098389,5.0067901611328125e-06,5.0067901611328125e-06,1,1,1.2534015695459498e-11
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,B008LQXR82,head,5,1,1,0,1,1.0,0.0,-0.0,1,1,0.0
A10MZ1W1M8LIBJ:1:B00386099K,A10MZ1W1M8LIBJ,B00386099K,head,0,14527,0,1,30,0.9988448023796082,0.0011551976203918457,0.001155853271484375,1,1,1.2103987472901478e-08
A10MZ1W1M8LIBJ:1:B00386099K,A10MZ1W1M8LIBJ,B00386099K,head,1,5236,0,1,19,0.9847931861877441,0.01520681381225586,0.015323638916015625,1,1,1.5799422605281e-08
A10MZ1W1M8LIBJ:1:B00386099K,A10MZ1W1M8LIBJ,B00386099K,head,2,12397,0,1,37,0.9967019557952881,0.003298044204711914,0.00330352783203125,1,1,3.309216115281871e-08
A10MZ1W1M8LIBJ:1:B00386099K,A10MZ1W1M8LIBJ,B00386099K,head,3,1899,0,0,1,0.9999971389770508,2.86102294921875e-06,2.86102294921875e-06,1,1,4.092733964233819e-12
A10MZ1W1M8LIBJ:1:B00386099K,A10MZ1W1M8LIBJ,B00386099K,head,4,2530,0,0,1,1.0,0.0,-0.0,1,1,0.0
A10MZ1W1M8LIBJ:1:B00386099K,A10MZ1W1M8LIBJ,B00386099K,head,5,1,1,0,1,1.0,0.0,-0.0,1,1,0.0
A117PQAH6ZLJ97:2:B000LT1D56,A117PQAH6ZLJ97,B000LT1D56,head,0,1871,0,1,30,0.9969680905342102,0.003031909465789795,0.0030364990234375,4,4,1.5991284101589398e-08
A117PQAH6ZLJ97:2:B000LT1D56,A117PQAH6ZLJ97,B000LT1D56,head,1,1394,0,1,29,0.9672866463661194,0.032713353633880615,0.033260345458984375,13,13,5.348926246373509e-08
A117PQAH6ZLJ97:2:B000LT1D56,A117PQAH6ZLJ97,B000LT1D56,head,2,17056,0,1,14,0.9794507026672363,0.020549297332763672,0.020763397216796875,1,1,2.5273823953814167e-08
A117PQAH6ZLJ97:2:B000LT1D56,A117PQAH6ZLJ97,B000LT1D56,head,3,5165,0,0,1,0.9999995231628418,4.76837158203125e-07,4.76837158203125e-07,1,1,1.136868738263954e-13
A117PQAH6ZLJ97:2:B000LT1D56,A117PQAH6ZLJ97,B000LT1D56,head,4,23757,0,0,1,0.9999838471412659,1.615285873413086e-05,1.621246337890625e-05,1,1,5.947418594788988e-08
A117PQAH6ZLJ97:2:B000LT1D56,A117PQAH6ZLJ97,B000LT1D56,head,5,1,1,0,1,1.0,0.0,-0.0,1,1,0.0
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,B006EP74CC,tail,0,14295,0,1,30,0.9978317618370056,0.0021682381629943848,0.002170562744140625,1,1,2.9450569300967788e-08
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,B006EP74CC,tail,1,384,0,1,44,0.9964852333068848,0.0035147666931152344,0.003520965576171875,2,2,7.57901984184059e-09
