dataset,user,split,sample_hash,depth,child_count,history_length,metadata_tokens_mean,metadata_tokens_min,metadata_missing_fraction,unique_neighbors_mean,semantic_entropy,semantic_margin,semantic_max_probability,collaborative_entropy,collaborative_margin,collaborative_max_probability,full_entropy,full_margin,full_max_probability,semantic_collaborative_js,semantic_collaborative_top1_agree,lp_semantic,lp_collaborative20,lp_full5,lp_full10,lp_full20,u_semantic,u_collaborative,u_k5,u_k10,u_k20
Toys,AXNOIG99M4JF5,audit,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,0,30,2.0,348.0,323.0,0.0,20.0,2.122589349746704,0.44979336857795715,0.5230801105499268,1.6899428367614746,0.5664167404174805,0.6451343297958374,1.6899428367614746,0.5664167404174805,0.6451343297958374,0.015644017606973648,1.0,-0.6480206251144409,-0.43829673528671265,-0.4452478885650635,-0.4310888946056366,-0.43829673528671265,0.0,0.20972388982772827,0.20277273654937744,0.01415899395942688,-0.00720784068107605
Toys,AXNOIG99M4JF5,audit,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,1,53,2.0,348.0,323.0,0.0,20.0,2.705385684967041,0.0032303333282470703,0.19818677008152008,2.740265369415283,0.041191503405570984,0.20280341804027557,2.740265369415283,0.041191503405570984,0.20280341804027557,0.0734974667429924,0.0,-1.618545413017273,-2.6947154998779297,-1.170824408531189,-2.106851100921631,-2.6947154998779297,0.0,-1.0761700868606567,0.447721004486084,-0.9360266923904419,-0.5878643989562988
Toys,AXNOIG99M4JF5,audit,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,2,24,2.0,348.0,323.0,0.0,20.0,1.792546033859253,0.11534933745861053,0.36152276396751404,1.9089150428771973,0.4110163226723671,0.5052279233932495,1.9089150428771973,0.4110163226723671,0.5052279233932495,0.39478111267089844,0.0,-5.005414009094238,-4.129120826721191,-2.6538214683532715,-2.468276262283325,-4.129120826721191,0.0,0.8762931823730469,2.351592540740967,0.1855452060699463,-1.6608445644378662
Toys,AXNOIG99M4JF5,audit,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,3,1,2.0,348.0,323.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toys,AXNOIG99M4JF5,audit,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,4,1,2.0,348.0,323.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toys,A3JVYKAWHZK4QX,audit,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,0,30,17.0,136.64705882352942,35.0,0.0,20.0,2.511223077774048,0.008790403604507446,0.1762581616640091,2.314863681793213,0.004500001668930054,0.24334603548049927,2.314863681793213,0.004500001668930054,0.24334603548049927,0.025577183812856674,1.0,-4.398288726806641,-5.108060836791992,-4.568537712097168,-5.030729293823242,-5.108060836791992,0.0,-0.7097721099853516,-0.17024898529052734,-0.4621915817260742,-0.07733154296875
Toys,A3JVYKAWHZK4QX,audit,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,1,27,17.0,136.64705882352942,35.0,0.0,20.0,2.2377021312713623,0.02166697382926941,0.29588326811790466,1.9748096466064453,0.23391330242156982,0.4203091263771057,1.9748096466064453,0.23391330242156982,0.4203091263771057,0.20681600272655487,0.0,-3.2240920066833496,-5.138562202453613,-2.8792238235473633,-3.931596279144287,-5.138562202453613,0.0,-1.9144701957702637,0.34486818313598633,-1.0523724555969238,-1.2069659233093262
Toys,A3JVYKAWHZK4QX,audit,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,2,8,17.0,136.64705882352942,35.0,0.0,20.0,0.19813668727874756,0.9414315428584814,0.9618499279022217,0.588446855545044,0.7230716049671173,0.8311362862586975,0.588446855545044,0.7230716049671173,0.8311362862586975,0.04065810143947601,1.0,-0.03889681026339531,-0.1849614828824997,-0.006677219644188881,-0.010846232064068317,-0.1849614828824997,0.0,-0.14606467261910439,0.03221959061920643,-0.0041690124198794365,-0.17411525081843138
Toys,A3JVYKAWHZK4QX,audit,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,3,2,17.0,136.64705882352942,35.0,0.0,20.0,0.18750199675559998,0.9073809683322906,0.9536904692649841,0.03684055432677269,0.9879362965002656,0.99396812915802,0.03684055432677269,0.9879362965002656,0.99396812915802,0.00899675115942955,1.0,-0.04741610959172249,-0.00605012895539403,-0.1356162577867508,-0.06744666397571564,-0.00605012895539403,0.0,0.04136598063632846,-0.0882001481950283,0.06816959381103516,0.06139653502032161
Toys,A3JVYKAWHZK4QX,audit,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,4,1,17.0,136.64705882352942,35.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toys,A2SP41NNR0KMV2,audit,00cbd76b98a05a14dd6d649e3ba0a120ac111154d4c8074cab6e9cdb3852be2a,0,30,2.0,183.0,131.0,0.0,20.0,2.3744468688964844,0.34745777398347855,0.4315127432346344,1.658743977546692,0.6230410374701023,0.6620409488677979,1.658743977546692,0.6230410374701023,0.6620409488677979,0.04177340865135193,1.0,-0.8404582142829895,-0.4124279022216797,-0.4118039906024933,-0.2648303806781769,-0.4124279022216797,0.0,0.4280303120613098,0.4286542236804962,0.1469736099243164,-0.1475975215435028
Toys,A2SP41NNR0KMV2,audit,00cbd76b98a05a14dd6d649e3ba0a120ac111154d4c8074cab6e9cdb3852be2a,1,20,2.0,183.0,131.0,0.0,20.0,1.0666520595550537,0.6435840055346489,0.7372808456420898,0.867922842502594,0.755641020834446,0.8102449178695679,0.867922842502594,0.755641020834446,0.8102449178695679,0.008114416152238846,1.0,-0.30478641390800476,-0.2104187309741974,-0.17238718271255493,-0.20750708878040314,-0.2104187309741974,0.0,0.09436768293380737,0.13239923119544983,-0.035119906067848206,-0.0029116421937942505
Toys,A2SP41NNR0KMV2,audit,00cbd76b98a05a14dd6d649e3ba0a120ac111154d4c8074cab6e9cdb3852be2a,2,72,2.0,183.0,131.0,0.0,20.0,1.7423545122146606,0.34868699312210083,0.5128117203712463,0.5281128287315369,0.8822446055710316,0.9113476872444153,0.5281128287315369,0.8822446055710316,0.9113476872444153,0.3538433313369751,0.0,-1.807128667831421,-0.0928308293223381,-0.1633397936820984,-0.3164815902709961,-0.0928308293223381,0.0,1.7142978385090828,1.6437888741493225,-0.1531417965888977,0.223650760948658
