user,split,sample_hash,lp_current,lp_recover,benefit,positive_label
AXNOIG99M4JF5,audit,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,-0.9016567468643188,-1.4692367315292358,-0.567579984664917,0
A3JVYKAWHZK4QX,audit,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,-1.5249873399734497,-1.603367567062378,-0.07838022708892822,0
A2SP41NNR0KMV2,audit,00cbd76b98a05a14dd6d649e3ba0a120ac111154d4c8074cab6e9cdb3852be2a,-0.15701696276664734,-1.4896260499954224,-1.3326090574264526,0
AZSK4N4ZCZ16H,audit,00dc4ed54a994196c52472a2be1512bff1044ff3f7a3c03d7d6a59b809a24133,-0.954450786113739,-1.5667778253555298,-0.6123270392417908,0
A1Z9Y3MXTQVSCV,audit,00ed8d78918178b2434d39c63971269933751ae6ad3dd3fdc75ee8ba993c3775,-1.2350265979766846,-1.9238109588623047,-0.6887843608856201,0
A1AE8V6Y8T4KGL,audit,00f2e3b083225ca461fde254178dc64f721300c5efa2bd38477351d6ada327c7,-1.3969879150390625,-1.4109110832214355,-0.013923168182373047,0
A1C157FRUD6JXH,audit,00f755e3120727586b9790ca5f00b8226978f6be7afa5fa7d6b65076b340cae8,-0.03526662662625313,-0.05612901598215103,-0.020862389355897903,0
A11Y88M90AQ2ZO,audit,00f7b713eea5460a932e274d96b1f21f8774ef5240f09c691dd2f9bc97469495,-0.41317233443260193,-0.2697069048881531,0.14346542954444885,1
A27H0T39U3FZB5,audit,011ba62ef501fbb35716feb921ad84c8763c5d19c833f3aca7c24ab766a676df,-0.9480241537094116,-1.3319735527038574,-0.3839493989944458,0
AY5UM0DV5T3YW,audit,012865f6ea884408c0de1247983d568567a8a711aa53acb11990d46683542732,-0.9667722582817078,-1.1720783710479736,-0.20530611276626587,0
A2G00U3NCCUOGL,audit,012fa8afbadc6715ff5395eeecbf3178e64a3ce10c32974fc0aad03db168be20,-0.8556342124938965,-0.8384753465652466,0.017158865928649902,0
A1IAQIZSXONWVU,audit,013802e405df328945da16bec3c54cebe44c11833b50f714155f5d71e15a2a42,-0.4977028965950012,-0.5268890261650085,-0.029186129570007324,0
A9XZYM1OPW780,audit,014cf3cc361373b15d553cd50c5fa22e04915f920221a26b56d8aebb005f4a59,-0.9431994557380676,-0.9246958494186401,0.01850360631942749,0
A3057ZJL1OX1W0,audit,0150e673ca7d424bb8eed3d5abac9b79dcf83beee1340b4e44275b5601ec3a97,-1.5293002128601074,-1.6190001964569092,-0.08969998359680176,0
ALO0F99ZHATEU,audit,015fb72894dee775312d213224b53ca2226f6797da91a2b7a87c8d9513939f5b,-0.6507790684700012,-0.6762598156929016,-0.02548074722290039,0
A3MRYKKPAD40RP,audit,016e0c961d858d9a27c290cb10cc2e8f1e19c860dc71bc7888e036bd532d50c8,-1.6592750549316406,-1.5616891384124756,0.09758591651916504,1
A2KMV056844YV2,audit,017ba389bb6981d95a857d3da373d8f19c8eb7b37fa431ed357d683b3486ec83,-0.5374571681022644,-1.4576005935668945,-0.9201434254646301,0
A3AVVMEI28N2UJ,audit,0188212a5864aa563567a21cd37435cfcc77d1126a09f587636ee135719760e8,-1.216041088104248,-1.9132219552993774,-0.6971808671951294,0
