sample_key,user_id,target_group,negative_item,source,exact_path_score,divergence_depth,legal_child_count,gold_child_logp,negative_child_logp,margin,deficit
A060131923OZAPX4NDRM8:5:B00146G71U,A060131923OZAPX4NDRM8,head,B001543YEY,both,-0.39626094698905945,0,30,-1.5119386911392212,-0.8179269433021545,-0.6940117478370667,1
A060131923OZAPX4NDRM8:5:B00146G71U,A060131923OZAPX4NDRM8,head,B00712NTWQ,gram,-0.41568663716316223,0,30,-1.5119386911392212,-0.8179269433021545,-0.6940117478370667,1
A060131923OZAPX4NDRM8:5:B00146G71U,A060131923OZAPX4NDRM8,head,B000S5URGO,gram,-0.5060908198356628,0,30,-1.5119386911392212,-0.8179269433021545,-0.6940117478370667,1
A060131923OZAPX4NDRM8:5:B00146G71U,A060131923OZAPX4NDRM8,head,B006WAVEP2,gram,-0.5996499061584473,0,30,-1.5119386911392212,-0.8179269433021545,-0.6940117478370667,1
A060131923OZAPX4NDRM8:5:B00146G71U,A060131923OZAPX4NDRM8,head,B004C7S70W,gram,-0.685988187789917,2,18,-1.0376694202423096,-2.1421408653259277,1.1044714450836182,0
A060131923OZAPX4NDRM8:5:B00146G71U,A060131923OZAPX4NDRM8,head,B0036WSVPU,gram,-0.709833562374115,0,30,-1.5119386911392212,-2.847639560699463,1.3357008695602417,0
A060131923OZAPX4NDRM8:5:B00146G71U,A060131923OZAPX4NDRM8,head,B00592BOAO,gram,-0.7126500010490417,0,30,-1.5119386911392212,-0.8179269433021545,-0.6940117478370667,1
A060131923OZAPX4NDRM8:5:B00146G71U,A060131923OZAPX4NDRM8,head,B004JLNUZI,gram,-0.7169842720031738,2,18,-1.0376694202423096,-2.3281779289245605,1.290508508682251,0
A10C5CJK1YKGV0:8:B003H9MTJ6,A10C5CJK1YKGV0,tail,B000SQTJJO,gram,-0.6354624629020691,0,30,-1.8320035934448242,-2.602034568786621,0.7700309753417969,0
A10C5CJK1YKGV0:8:B003H9MTJ6,A10C5CJK1YKGV0,tail,B004S6A1QK,gram,-0.6520211100578308,0,30,-1.8320035934448242,-2.9568471908569336,1.1248435974121094,0
A10C5CJK1YKGV0:8:B003H9MTJ6,A10C5CJK1YKGV0,tail,B0043RS8D2,gram,-0.7203385233879089,0,30,-1.8320035934448242,-2.9568471908569336,1.1248435974121094,0
A10C5CJK1YKGV0:8:B003H9MTJ6,A10C5CJK1YKGV0,tail,B004ORWXFA,gram,-0.7439301013946533,0,30,-1.8320035934448242,-2.5436620712280273,0.7116584777832031,0
A10C5CJK1YKGV0:8:B003H9MTJ6,A10C5CJK1YKGV0,tail,B0017XEMW6,gram,-0.7448830008506775,0,30,-1.8320035934448242,-3.2851247787475586,1.4531211853027344,0
A10C5CJK1YKGV0:8:B003H9MTJ6,A10C5CJK1YKGV0,tail,B004Z7H07K,gram,-0.7486105561256409,0,30,-1.8320035934448242,-2.655703544616699,0.823699951171875,0
A10C5CJK1YKGV0:8:B003H9MTJ6,A10C5CJK1YKGV0,tail,B001JQLJNQ,gram,-0.7494974136352539,0,30,-1.8320035934448242,-3.4655866622924805,1.6335830688476562,0
