sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm,residual_spread,safety_multiplier,attenuated
A0614215ICIJ7IVV472R:validation:B0091W3622,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.32921481132507324,1.0,0
A0908131Z7BWYSMRQ16T:validation:B0069FDR96,head,10,10,1,1.0,0.2890648263178879,1.0,1.0,0.2890648263178879,1.0,0,0,0.31570255756378174,1.0,0
A1059MG8KDS2AL:validation:B0067H6JGY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31084364652633667,1.0,0
A10C5CJK1YKGV0:validation:B00A0J09GG,head,29,30,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.316116064786911,1.0,0
A10EA0CWQ2AC58:validation:B00EDY0IJM,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31279391050338745,1.0,0
A10IKD1NJ5UYYP:validation:B003V21WO2,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3170706331729889,1.0,0
A10LKWO19E9V2G:validation:B003S16H5A,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31487739086151123,1.0,0
A10M94ASQEBL56:validation:B00GTBZWPW,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3134920299053192,1.0,0
A10O9LX8PH1J8M:validation:B00027DMI8,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.32535073161125183,1.0,0
A11DLWWD0138XT:validation:B004VMGU8E,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3145758807659149,1.0,0
A11LJ8I7OAG5R6:validation:B003MJG19K,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31434956192970276,1.0,0
A11LNY2OLQSUSV:validation:B00AE07932,head,6,6,1,1.0,0.3562071871080222,1.0,1.0,0.3562071871080222,1.0,0,0,0.31510061025619507,1.0,0
A11PKTC7A95ST:validation:B001KYO1QO,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3142877221107483,1.0,0
A11WYHDB1YEZOX:validation:B00B5LOQZI,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31291642785072327,1.0,0
A124ZI1G2QER1D:validation:B00BKH9HRE,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3155657649040222,1.0,0
A125XVN95UDZWO:validation:B009T8GA12,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31676897406578064,1.0,0
A12AMCBUFJYX9H:validation:B000RYSXWG,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31571465730667114,1.0,0
A12EYRFV8UVIYN:validation:B000BD0SEE,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3654018044471741,1.0,0
A12FEE2DLDKX28:validation:B001ET76EY,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31342798471450806,1.0,0
A12HMEFOXS3XJZ:validation:B003G0UO48,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3159383535385132,1.0,0
A13F3AIRL9OZ1G:validation:B003NXM9HS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31443291902542114,1.0,0
A13GZCHAMKWYBT:validation:B00I6CRX04,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3197963833808899,1.0,0
A13WEKTB63G78Y:validation:B004BYUQG4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3094688951969147,1.0,0
A13X7XBBT1DN8U:validation:B00HD7SCLM,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3157386779785156,1.0,0
A1486KL0IOM7VM:validation:B008U2Y9BQ,head,6,6,1,1.0,0.3562071871080222,1.0,1.0,0.3562071871080222,1.0,0,0,0.3143223226070404,1.0,0
A14ARSM0EG9ZGU:validation:B002BAOMAG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3137512505054474,1.0,0
A14GJ870I7DW79:validation:B00A76CPUA,head,8,7,1,1.0,0.31546487678572877,1.0,1.0,0.3333333333333333,1.0,1,0,0.3138076066970825,1.0,0
A14IYP5WJSNO73:validation:B00094O6D4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3093017637729645,1.0,0
A14LRBYWJA09IC:validation:B0009F3O18,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3156467080116272,1.0,0
A14MBQ95YEOKV:validation:B008RIJVTI,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31541678309440613,1.0,0
A14MGBL44O4D5B:validation:B000ZLVUYO,head,3,2,1,1.0,0.5,1.0,1.0,0.6309297535714575,1.0,1,0,0.32330119609832764,1.0,0
A14MOF7D5EUMH1:validation:B00G5KZ7HU,tail,6,6,1,1.0,0.3562071871080222,1.0,1.0,0.3562071871080222,1.0,0,0,0.3125024139881134,1.0,0
A14PJADYOTPSY4:validation:B0025N244K,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31444358825683594,1.0,0
A14QHGZL6A7YBR:validation:B00C8YCFU4,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31545692682266235,1.0,0
A14R9XMZVJ6INB:validation:B001QT5FMM,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3166455626487732,1.0,0
A14WZ2RGOYLJIN:validation:B004KS2NZ8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.36566248536109924,1.0,0
A14XAJMK8UK30T:validation:B003ZS4WJY,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.30689868330955505,1.0,0
A1595MBNFYL9VE:validation:B005OZGDO8,head,4,4,1,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,1.0,0,0,0.3225875794887543,1.0,0
A15CJ5CZE02PQP:validation:B00A51LI1O,head,39,38,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.31599920988082886,1.0,0
A15CLB0OADMQKA:validation:B004K9UAKM,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3165101408958435,1.0,0
A15DJ0R0IVSYUB:validation:B00469CIMO,tail,,53,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.336919903755188,1.0,0
A15R1Y3ZTUUOY8:validation:B003VMU63K,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.365592896938324,1.0,0
A15XZFMT2VL1DB:validation:B00BIFWYTG,tail,14,12,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.3147205412387848,1.0,0
A16223J4WF5GQK:validation:B00493YBXG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31463444232940674,1.0,0
A164US8P7HZ8ZQ:validation:B004KATCFK,head,24,18,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.36579418182373047,1.0,0
A16A7NKAXYWHRT:validation:B00B1UAC10,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.363068163394928,1.0,0
A16F6WAQ946GGK:validation:B001CMT83A,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.311830997467041,1.0,0
A16NAH39LN211W:validation:B003FPE7MY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3111611604690552,1.0,0
A16NLU1FWKR8C6:validation:B003ZX32ZO,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31775927543640137,1.0,0
A170YCPHBY0IZD:validation:B000EPA4FW,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3122294247150421,1.0,0
A171RJCXZ95YM0:validation:B002XITY36,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31638243794441223,1.0,0
A173581I2AGT94:validation:B00JTY6WQ4,head,45,36,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.36690837144851685,1.0,0
A17407KR1JVDD7:validation:B00ITXVZK4,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.3156282305717468,1.0,0
A177B2VPWX4P55:validation:B00A7YS5EM,tail,9,8,1,1.0,0.3010299956639812,1.0,1.0,0.31546487678572877,1.0,1,0,0.3372254967689514,1.0,0
A17D1F7ENYYJIH:validation:B0045SU5ZI,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.30985191464424133,1.0,0
A17HLRWMA8GRXJ:validation:B0002SISY0,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.30906379222869873,1.0,0
A17P8XGV2B0SDQ:validation:B0090UJFYI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3167365789413452,1.0,0
A17S6BMSEV93NX:validation:B00GDJTN3M,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3165832757949829,1.0,0
A17VO8UKQ7KVE8:validation:B002PBLH3Q,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3149041533470154,1.0,0
A1803RSNURLATR:validation:B004ITB3IW,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3151061534881592,1.0,0
A183WIWZ20SYMK:validation:B00361QP6I,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31629350781440735,1.0,0
A18FUHNBP90IB4:validation:B00HSNWXYI,head,27,24,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.3113761842250824,1.0,0
A18G3VB7BU743H:validation:B006GTKSHY,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3135206699371338,1.0,0
A18IAL5N5UGJ9J:validation:B003COAFPQ,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.3158465623855591,1.0,0
A18K1Z8H0ATJ9F:validation:B00B8KWFJU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3153620958328247,1.0,0
A18LBGL7L9FEZV:validation:B006RFZ98K,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.315224826335907,1.0,0
A18QD5BXF9LS7E:validation:B006U95N34,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31679487228393555,1.0,0
A18RVYW5EMA6T3:validation:B005C1C02S,head,8,7,1,1.0,0.31546487678572877,1.0,1.0,0.3333333333333333,1.0,1,0,0.31406521797180176,1.0,0
A18S2VGUH9SCV5:validation:B004KS2OHA,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31290876865386963,1.0,0
A18VE598ALLYOO:validation:B001PEZAHI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3152053952217102,1.0,0
A18YMFFJW974QS:validation:B00DD96JVY,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.30782198905944824,1.0,0
A193M0HR90159Z:validation:B00117YN2C,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3129492700099945,1.0,0
A196V9JTG3DLMI:validation:B003UYQVYM,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3634862005710602,1.0,0
A19AJOXWYRPGC:validation:B000LJGRG6,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3658466339111328,1.0,0
A19DPHRG5VRHMH:validation:B004M2Y7RY,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3141692876815796,1.0,0
A19DRU3RZOSCVG:validation:B0039JYPVO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.33306100964546204,1.0,0
A19FSNL8B5GJ02:validation:B000EVKYQK,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31566160917282104,1.0,0
A19OR7BSMSPDFB:validation:B00GYB13OQ,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31551265716552734,1.0,0
A19RD443T9F1WX:validation:B0013OFRUK,head,8,8,1,1.0,0.31546487678572877,1.0,1.0,0.31546487678572877,1.0,0,0,0.313434362411499,1.0,0
A1A4R41718418D:validation:B0031D1MDM,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3168560266494751,1.0,0
A1A9Q3CQA5Y28E:validation:B00AILKE6G,head,39,37,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.36528217792510986,1.0,0
A1ABZOGLHP3HAH:validation:B00150LT40,head,5,5,1,1.0,0.38685280723454163,1.0,1.0,0.38685280723454163,1.0,0,0,0.3147096633911133,1.0,0
A1B3DWX1SG82A1:validation:B00B0GOSNI,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31565389037132263,1.0,0
A1B57QL7VO83GH:validation:B002MSN3QQ,head,3,2,1,1.0,0.5,1.0,1.0,0.6309297535714575,1.0,1,0,0.3314046263694763,1.0,0
A1BAVMI8G1FPNM:validation:B003V264WW,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31098461151123047,1.0,0
A1BB98A8OTCT4A:validation:B00ATWDTIE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31690558791160583,1.0,0
A1BBZMY1OU57TR:validation:B005Y6F4WO,head,14,14,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.3153036832809448,1.0,0
A1BD73IAW04XMZ:validation:B002N0U37A,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.36627233028411865,1.0,0
A1BHOF4PPTFTYN:validation:B003FXE6VI,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31951701641082764,1.0,0
A1BQAWEOE72IDW:validation:B008U1Q4DI,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.31411513686180115,1.0,0
A1BQJLYNHKXXT3:validation:B006FKLRIS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31438472867012024,1.0,0
A1BTQU0ND8V8WK:validation:B0089JVDPK,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3152840733528137,1.0,0
A1BY1YGXBTP2EX:validation:B00FRDPNM0,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31563621759414673,1.0,0
A1C0XYNLIWRBOS:validation:B00B1M0XCG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31284403800964355,1.0,0
A1C1OYCN955LLS:validation:B001EWF2F6,tail,,53,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.3158114552497864,1.0,0
