sample_key,user_id,target_group,negative_item,source,exact_path_score,divergence_depth,legal_child_count,gold_child_logp,negative_child_logp,margin,deficit
A112TFLXGBF6NI:20:B001NP5IK8,A112TFLXGBF6NI,tail,B006UEUK82,gram,-0.11239778995513916,0,108,-3.2540841102600098,-0.996706485748291,-2.2573776245117188,1
A112TFLXGBF6NI:20:B001NP5IK8,A112TFLXGBF6NI,tail,B0018SAJ7M,gram,-0.5057501792907715,0,108,-3.2540841102600098,-4.036616325378418,0.7825322151184082,0
A112TFLXGBF6NI:20:B001NP5IK8,A112TFLXGBF6NI,tail,B002KANWU8,gram,-0.5827751159667969,0,108,-3.2540841102600098,-4.648402214050293,1.3943181037902832,0
A112TFLXGBF6NI:20:B001NP5IK8,A112TFLXGBF6NI,tail,B002QI1F8A,gram,-0.5939198136329651,0,108,-3.2540841102600098,-3.8248467445373535,0.5707626342773438,0
A112TFLXGBF6NI:20:B001NP5IK8,A112TFLXGBF6NI,tail,B006UET5UG,gram,-0.6070113778114319,0,108,-3.2540841102600098,-3.5181069374084473,0.2640228271484375,0
A112TFLXGBF6NI:20:B001NP5IK8,A112TFLXGBF6NI,tail,B000C1W44M,gram,-0.6228302717208862,0,108,-3.2540841102600098,-4.474909782409668,1.2208256721496582,0
A112TFLXGBF6NI:20:B001NP5IK8,A112TFLXGBF6NI,tail,B006X1KROY,gram,-0.6414533853530884,0,108,-3.2540841102600098,-4.7034101486206055,1.4493260383605957,0
A112TFLXGBF6NI:20:B001NP5IK8,A112TFLXGBF6NI,tail,B0030O3VRW,gram,-0.6610077619552612,0,108,-3.2540841102600098,-3.9629158973693848,0.708831787109375,0
A11L85WKR81T06:2:B0053PTTU4,A11L85WKR81T06,head,B00459ZRRS,gram,-0.2894372344017029,0,108,-3.256101131439209,-1.9678702354431152,-1.2882308959960938,1
A11L85WKR81T06:2:B0053PTTU4,A11L85WKR81T06,head,B0011V0QIS,gram,-0.41067785024642944,0,108,-3.256101131439209,-3.2695364952087402,0.01343536376953125,1
A11L85WKR81T06:2:B0053PTTU4,A11L85WKR81T06,head,B007RIEYGO,gram,-0.4304991662502289,0,108,-3.256101131439209,-3.200284481048584,-0.055816650390625,1
A11L85WKR81T06:2:B0053PTTU4,A11L85WKR81T06,head,B004HCECVA,gram,-0.4316290616989136,0,108,-3.256101131439209,-3.4371161460876465,0.1810150146484375,0
A11L85WKR81T06:2:B0053PTTU4,A11L85WKR81T06,head,B00157S30Q,gram,-0.4443778991699219,0,108,-3.256101131439209,-3.5388846397399902,0.28278350830078125,0
A11L85WKR81T06:2:B0053PTTU4,A11L85WKR81T06,head,B000OYJ9AO,both,-0.45165976881980896,0,108,-3.256101131439209,-2.618833065032959,-0.63726806640625,1
