user,split,sample_hash,lp_current,lp_recover,benefit,positive_label
A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,-0.28965166211128235,-0.6667336821556091,-0.3770820200443268,0
A3LMILRM9OC3SA,audit,001d2c8c98e0eaf8879ecf5ec55e30035f9fe9b8b29e4416c240860fce42ff88,-1.1402016878128052,-1.3128745555877686,-0.17267286777496338,0
A6YIRBOI13F1K,audit,0029c8af6d7ac1cc8a59d085a50785a6c223793d4980211671f82ba898d0657f,-1.5414459705352783,-1.8284410238265991,-0.2869950532913208,0
AZ7QF60OCTLQR,audit,002b705d2a5e1f5e580119d83b4322d635421877a47fa685c0da8fa532905964,-0.7289820909500122,-0.8333468437194824,-0.10436475276947021,0
AZ1R9RT8UA9C4,audit,003b95c013962e479911eda0dbbceebd38e56c6646230491577aefeae9996cf7,-1.600438117980957,-1.908848762512207,-0.30841064453125,0
A2QJCQSBKEZ7F,audit,005bf8c86136a3bfb43cb32b104e1ea655aaa63978f7fd19a37991808cf35e7a,-1.5920161008834839,-1.7996970415115356,-0.20768094062805176,0
AEGKGMBOG4R1Y,audit,00680ea8ac56518b0ed50a574e67ccbe5210fd45ba53ab1dfab5a3a2d0018267,-1.475893259048462,-1.6641613245010376,-0.18826806545257568,0
A20173T9HDB759,audit,006beaa9cbc0aafb650b97d006abbca199d29e43283b7e1156557ec403cc855e,-0.7276439070701599,-0.8771313428878784,-0.1494874358177185,0
A2PAC9IAV4RLWV,audit,007f4f0179f6fe2b4be66438c4954b243ae39e13a951d15c46a260e83b07a3ec,-0.4961163401603699,-0.8885806798934937,-0.3924643397331238,0
A3D4WBC9QRF1B,audit,008525e799cd24e9b2a1ed5bc9030c9edb9af879e7e397e48f194d4ae5437800,-0.31180647015571594,-11.924135208129883,-11.61232852935791,0
A13MYTDYDNC2KP,audit,008dde1e7b5cd86013ddbede0969fcc7ae81b83aeb1c4f9952d7f190c02a253f,-1.0532691478729248,-1.2291864156723022,-0.17591726779937744,0
A3NGK03GOJ1JDQ,audit,0091b849b38aefc4286921c47da4099399d82781c0699787bc5671e5961eb3a0,-0.9993529915809631,-1.1400474309921265,-0.14069443941116333,0
