sample_key,user_id,target_group,depth,gold_token,edge_id,legal_child_count,branch_bin,descendant_items,same_token_node_count,semantic_distance,cohort,gold_margin
A03364251DGXSGA9PSR99:4:B001G2GCO4,A03364251DGXSGA9PSR99,tail,0,22188,0>22188,108,9+,107,1,,control,0.54742431640625
A03364251DGXSGA9PSR99:4:B001G2GCO4,A03364251DGXSGA9PSR99,tail,1,15665,"0,22188>15665",42,9+,14,1,,control,3.46197509765625
A03364251DGXSGA9PSR99:4:B001G2GCO4,A03364251DGXSGA9PSR99,tail,2,14152,"0,22188,15665>14152",9,9+,4,1,,control,6.443185806274414
A03364251DGXSGA9PSR99:4:B001G2GCO4,A03364251DGXSGA9PSR99,tail,3,14803,"0,22188,15665,14152>14803",3,3-4,2,0,,ineligible,21.0905818939209
A03364251DGXSGA9PSR99:4:B001G2GCO4,A03364251DGXSGA9PSR99,tail,7,632,"0,22188,15665,14152,14803,1131,1580,4285>632",2,2,1,0,,ineligible,2.545912265777588
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,head,0,18311,0>18311,108,9+,326,1,,control,-0.2600898742675781
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,head,1,10848,"0,18311>10848",118,9+,5,2,0.006991326808929443,control,-0.7837867736816406
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,head,2,140,"0,18311,10848>140",5,5-8,1,0,,ineligible,14.603565216064453
A10207079F09W5HTL0Q6:1:B000WYZ9Q4,A10207079F09W5HTL0Q6,head,0,30551,0>30551,108,9+,238,1,,control,0.01480865478515625
A10207079F09W5HTL0Q6:1:B000WYZ9Q4,A10207079F09W5HTL0Q6,head,1,14295,"0,30551>14295",102,9+,1,0,,ineligible,-3.4281768798828125
A105R38CAPDBGU:1:B000HIYE0M,A105R38CAPDBGU,head,0,18311,0>18311,108,9+,326,1,,control,-0.27590179443359375
A105R38CAPDBGU:1:B000HIYE0M,A105R38CAPDBGU,head,1,18450,"0,18311>18450",118,9+,4,1,,control,0.5584220886230469
A105R38CAPDBGU:1:B000HIYE0M,A105R38CAPDBGU,head,2,8938,"0,18311,18450>8938",3,3-4,2,0,,ineligible,12.475723266601562
A105R38CAPDBGU:1:B000HIYE0M,A105R38CAPDBGU,head,4,5733,"0,18311,18450,8938,16137>5733",2,2,1,0,,ineligible,3.8721837997436523
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,head,0,5432,0>5432,108,9+,147,1,,control,-5.655433654785156
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,head,1,2412,"0,5432>2412",93,9+,5,1,,control,-1.3143587112426758
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,head,2,3270,"0,5432,2412>3270",5,5-8,1,0,,ineligible,0.5674097537994385
A10BK26EN1YSZT:1:B000SSG0EE,A10BK26EN1YSZT,head,0,21935,0>21935,108,9+,136,1,,control,1.4506607055664062
A10BK26EN1YSZT:1:B000SSG0EE,A10BK26EN1YSZT,head,1,21557,"0,21935>21557",94,9+,1,0,,ineligible,-1.8698387145996094
A10E3F50DIUJEE:2:B0050QJ0S2,A10E3F50DIUJEE,head,0,3575,0>3575,108,9+,170,1,,control,0.2857704162597656
A10E3F50DIUJEE:2:B0050QJ0S2,A10E3F50DIUJEE,head,1,6029,"0,3575>6029",87,9+,25,3,0.00687071681022644,control,1.6651782989501953
A10E3F50DIUJEE:2:B0050QJ0S2,A10E3F50DIUJEE,head,2,1206,"0,3575,6029>1206",18,9+,1,0,,ineligible,0.9634342193603516
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,head,0,16087,0>16087,108,9+,236,1,,control,0.15280914306640625
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,head,1,255,"0,16087>255",110,9+,3,2,0.014643192291259766,control,2.368724822998047
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,head,2,7384,"0,16087,255>7384",3,3-4,1,0,,ineligible,13.034855842590332
A10UHQH1YL5Q6B:8:B000JL7Z5S,A10UHQH1YL5Q6B,head,0,5949,0>5949,108,9+,257,1,,control,-0.09145355224609375
A10UHQH1YL5Q6B:8:B000JL7Z5S,A10UHQH1YL5Q6B,head,1,29670,"0,5949>29670",97,9+,2,0,,ineligible,-2.592344284057617
A10UHQH1YL5Q6B:8:B000JL7Z5S,A10UHQH1YL5Q6B,head,3,14910,"0,5949,29670,26151>14910",2,2,1,0,,ineligible,5.9299516677856445
A112TFLXGBF6NI:8:B002L6NZHG,A112TFLXGBF6NI,head,0,7524,0>7524,108,9+,148,1,,control,-0.279998779296875
A112TFLXGBF6NI:8:B002L6NZHG,A112TFLXGBF6NI,head,1,16380,"0,7524>16380",89,9+,1,0,,ineligible,-1.9145317077636719
A11SXJ2H7IC8J7:2:B0037FO44I,A11SXJ2H7IC8J7,tail,0,26190,0>26190,108,9+,97,1,,control,-3.6090164184570312
A11SXJ2H7IC8J7:2:B0037FO44I,A11SXJ2H7IC8J7,tail,1,407,"0,26190>407",59,9+,5,1,,control,-2.960874557495117
A11SXJ2H7IC8J7:2:B0037FO44I,A11SXJ2H7IC8J7,tail,3,30141,"0,26190,407,524>30141",4,3-4,1,0,,ineligible,4.2892279624938965
A125CKWJCII7LW:1:B007DGRT3K,A125CKWJCII7LW,head,0,643,0>643,108,9+,439,1,,control,-0.873748779296875
A125CKWJCII7LW:1:B007DGRT3K,A125CKWJCII7LW,head,1,13985,"0,643>13985",212,9+,5,2,0.005150496959686279,control,-0.3126182556152344
A125CKWJCII7LW:1:B007DGRT3K,A125CKWJCII7LW,head,2,24084,"0,643,13985>24084",4,3-4,2,0,,ineligible,-0.8561477661132812
A125CKWJCII7LW:1:B007DGRT3K,A125CKWJCII7LW,head,3,2656,"0,643,13985,24084>2656",2,2,1,0,,ineligible,4.994645118713379
A12DQZKRKTNF5E:3:B002VWL2AM,A12DQZKRKTNF5E,tail,0,7018,0>7018,108,9+,73,1,,control,-1.1783905029296875
A12DQZKRKTNF5E:3:B002VWL2AM,A12DQZKRKTNF5E,tail,1,11268,"0,7018>11268",58,9+,5,1,,control,1.3786773681640625
A12DQZKRKTNF5E:3:B002VWL2AM,A12DQZKRKTNF5E,tail,3,5883,"0,7018,11268,24078>5883",3,3-4,2,0,,ineligible,1.6081619262695312
A12DQZKRKTNF5E:3:B002VWL2AM,A12DQZKRKTNF5E,tail,4,663,"0,7018,11268,24078,5883>663",2,2,1,0,,ineligible,3.63590145111084
A12UT32YCU0WT0:3:B0050QJ1HM,A12UT32YCU0WT0,tail,0,3575,0>3575,108,9+,170,1,,control,-2.4131011962890625
